,Appealing Road,Awesome Moon,Odina,Jumpin Jack Brass,Jubaslilballerina,Ellies At Windsor,S S Frontier Angel,Grey Flamingo,Van Hook,La Maddalena
07-01-2023 11:20:22.266584,"(12.0, 30.0, 26.625)","(26.0, 70.0, 52.0)","(12.0, 30.0, 23.333333333333332)","(2.45, 2.46, 2.3899999999999997)","(19.0, 220.0, 142.8)","(16.0, 36.0, 31.875)","(31.0, 220.0, 134.0)","(11.0, 24.0, 18.75)","(3.2, 5.5, 4.975)","(5.5, 8.2, 7.514285714285714)"
07-01-2023 11:20:23.671339,"(12.0, 30.0, 26.625)","(26.0, 70.0, 52.0)","(12.0, 30.0, 23.333333333333332)","(2.45, 2.48, 2.3899999999999997)","(19.0, 220.0, 142.8)","(16.0, 36.0, 31.875)","(31.0, 220.0, 134.0)","(11.0, 24.0, 18.75)","(3.2, 5.5, 4.975)","(5.5, 8.2, 7.514285714285714)"
07-01-2023 11:20:25.027820,"(12.0, 30.0, 26.625)","(26.0, 70.0, 52.0)","(12.0, 30.0, 23.333333333333332)","(2.45, 2.48, 2.3899999999999997)","(19.0, 220.0, 142.8)","(16.0, 36.0, 31.875)","(31.0, 220.0, 134.0)","(11.0, 24.0, 18.75)","(3.2, 5.5, 4.975)","(5.5, 8.2, 7.514285714285714)"
07-01-2023 11:20:26.339419,"(12.0, 30.0, 26.625)","(26.0, 70.0, 52.0)","(12.0, 30.0, 23.333333333333332)","(2.4, 2.48, 2.3899999999999997)","(19.0, 220.0, 142.8)","(16.0, 36.0, 31.875)","(31.0, 220.0, 134.0)","(12.0, 24.0, 18.75)","(3.2, 5.5, 4.975)","(5.5, 8.2, 7.514285714285714)"
07-01-2023 11:20:27.672754,"(12.0, 30.0, 26.625)","(26.0, 70.0, 52.0)","(12.0, 30.0, 23.333333333333332)","(2.4, 2.48, 2.3899999999999997)","(19.0, 220.0, 142.8)","(16.0, 36.0, 31.875)","(31.0, 220.0, 134.0)","(12.0, 24.0, 18.75)","(3.2, 5.5, 4.975)","(5.5, 8.2, 7.514285714285714)"
07-01-2023 11:20:29.005415,"(12.0, 30.0, 26.625)","(26.0, 70.0, 52.0)","(12.0, 30.0, 23.333333333333332)","(2.4, 2.48, 2.3899999999999997)","(19.0, 220.0, 142.8)","(16.0, 36.0, 31.875)","(31.0, 220.0, 134.0)","(12.0, 24.0, 18.75)","(3.2, 5.5, 4.975)","(5.5, 8.2, 7.514285714285714)"
07-01-2023 11:20:30.357120,"(12.0, 30.0, 26.625)","(26.0, 70.0, 52.0)","(12.0, 30.0, 23.333333333333332)","(2.4, 2.48, 2.3899999999999997)","(19.0, 220.0, 142.8)","(16.0, 36.0, 28.2)","(31.0, 220.0, 134.0)","(12.0, 24.0, 18.75)","(3.2, 5.5, 4.975)","(5.5, 8.2, 7.514285714285714)"
07-01-2023 11:20:31.723086,"(12.0, 30.0, 26.625)","(26.0, 70.0, 58.66666666666667)","(12.0, 30.0, 27.0)","(2.4, 2.48, 2.3899999999999997)","(19.0, 220.0, 142.8)","(16.0, 34.0, 28.2)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.333333333333332)","(3.2, 5.5, 4.905882352941177)","(5.5, 8.2, 7.514285714285714)"
07-01-2023 11:20:32.972166,"(12.0, 30.0, 26.625)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 24.083333333333332)","(2.4, 2.48, 2.3899999999999997)","(19.0, 220.0, 142.8)","(16.0, 34.0, 28.2)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.4, 4.905882352941177)","(5.5, 8.2, 7.514285714285714)"
07-01-2023 11:20:34.250617,"(12.0, 30.0, 26.625)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 24.083333333333332)","(2.4, 2.48, 2.4219999999999997)","(19.0, 220.0, 91.33333333333333)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.4, 4.905882352941177)","(5.5, 8.2, 7.5)"
07-01-2023 11:20:35.558166,"(12.0, 30.0, 26.625)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 24.083333333333332)","(2.4, 2.44, 2.408)","(19.0, 220.0, 91.33333333333333)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.4, 4.905882352941177)","(5.5, 8.0, 7.5)"
07-01-2023 11:20:36.826287,"(12.0, 30.0, 26.625)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 24.083333333333332)","(2.4, 2.44, 2.408)","(19.0, 220.0, 91.33333333333333)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.4, 4.905882352941177)","(5.5, 8.0, 7.5)"
07-01-2023 11:20:38.148355,"(12.0, 30.0, 26.625)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 24.083333333333332)","(2.4, 2.44, 2.38)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.4, 4.905882352941177)","(5.5, 8.0, 7.5)"
07-01-2023 11:20:39.362697,"(12.0, 30.0, 26.625)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.48, 2.38)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 24.0, 20.5)","(3.2, 5.4, 4.905882352941177)","(5.5, 8.0, 7.5)"
07-01-2023 11:20:40.660829,"(12.0, 30.0, 26.625)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 18.1875)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 30.5)","(31.0, 220.0, 134.0)","(12.0, 24.0, 22.18181818181818)","(3.2, 5.4, 5.215789473684211)","(5.5, 8.0, 7.5)"
07-01-2023 11:20:42.037216,"(12.0, 30.0, 28.375)","(26.0, 70.0, 62.0)","(12.0, 19.5, 18.1875)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 135.0)","(12.0, 24.0, 22.166666666666668)","(3.2, 5.4, 4.746666666666667)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:43.486515,"(12.0, 30.0, 23.75)","(26.0, 70.0, 62.0)","(12.0, 19.5, 23.5)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 26.0, 24.214285714285715)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:44.827812,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 30.5)","(31.0, 220.0, 134.0)","(12.0, 26.0, 24.799999999999997)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:46.084173,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 26.0, 22.166666666666668)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:47.268485,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.48, 2.3657142857142857)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 26.0, 22.166666666666668)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:48.531537,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.48, 2.4219999999999997)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 134.0)","(12.0, 26.0, 22.166666666666668)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.333333333333334)"
07-01-2023 11:20:49.876253,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.44, 2.4072727272727272)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 30.5)","(31.0, 220.0, 134.0)","(12.0, 26.0, 22.166666666666668)","(3.2, 5.4, 4.855555555555556)","(5.5, 8.0, 7.466666666666667)"
07-01-2023 11:20:51.149684,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.44, 2.4072727272727272)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 30.5)","(31.0, 220.0, 134.0)","(12.0, 26.0, 22.166666666666668)","(3.2, 5.4, 4.9)","(5.5, 8.0, 7.466666666666667)"
07-01-2023 11:20:52.384581,"(12.0, 30.0, 23.75)","(26.0, 70.0, 58.66666666666667)","(12.0, 25.0, 23.5)","(2.4, 2.44, 2.4072727272727272)","(19.0, 220.0, 155.33333333333334)","(16.0, 34.0, 24.333333333333332)","(31.0, 220.0, 135.0)","(12.0, 26.0, 20.75)","(3.2, 5.0, 4.9)","(5.5, 8.0, 7.466666666666667)"
