,Desert Safari,Hes For The Girls,Mishani Maverick,Quasimoto,Royal Entrance,Sonny Daze,Worx,Limero
07-01-2023 12:22:46.383049,"(12.0, 12.5, 12.164473684210526)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 83.33333333333333)","(3.2, 5.0, 4.836363636363637)","(2.4, 2.8, 2.79)","(12.0, 13.5, 13.342105263157894)","(6.5, 7.6, 7.393939393939394)","(8.0, 9.2, 9.011764705882353)"
07-01-2023 12:22:47.495966,"(12.0, 12.5, 12.164473684210526)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 83.33333333333333)","(3.2, 5.0, 5.01304347826087)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.6, 7.358620689655173)","(8.0, 9.2, 8.43076923076923)"
07-01-2023 12:22:48.606756,"(12.0, 12.5, 12.135714285714286)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 83.33333333333333)","(3.2, 5.1, 5.0285714285714285)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.2, 8.588888888888889)"
07-01-2023 12:22:49.750477,"(12.0, 12.5, 12.098958333333334)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 83.5)","(3.2, 5.1, 5.0285714285714285)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.2, 8.588888888888889)"
07-01-2023 12:22:50.950533,"(12.0, 12.5, 12.098958333333334)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 83.5)","(3.2, 5.1, 4.957142857142857)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.2, 8.588888888888889)"
07-01-2023 12:22:52.154210,"(12.0, 12.5, 12.098958333333334)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 83.5)","(3.2, 5.1, 4.957142857142857)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.2, 8.588888888888889)"
07-01-2023 12:22:53.268804,"(12.0, 12.5, 12.098958333333334)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 83.5)","(3.2, 5.1, 4.957142857142857)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.2, 8.588888888888889)"
07-01-2023 12:22:54.412216,"(12.0, 12.5, 12.098958333333334)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 83.5)","(3.2, 5.1, 4.957142857142857)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.2, 8.822222222222223)"
07-01-2023 12:22:55.459148,"(12.0, 12.5, 12.098958333333334)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 83.5)","(3.2, 5.1, 5.041558441558442)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.0, 8.822222222222223)"
07-01-2023 12:22:56.526545,"(12.0, 12.5, 12.098958333333334)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.16666666666667)","(3.2, 5.1, 5.041558441558442)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.0, 8.588888888888889)"
07-01-2023 12:22:57.664119,"(12.0, 12.5, 12.098958333333334)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.16666666666667)","(3.2, 5.1, 4.926923076923077)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.2, 8.588888888888889)"
07-01-2023 12:22:58.861540,"(12.0, 12.5, 12.098958333333334)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.16666666666667)","(3.2, 5.1, 4.926923076923077)","(2.4, 2.8, 2.796)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.2, 8.57037037037037)"
07-01-2023 12:23:00.000759,"(12.0, 12.5, 12.095)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.16666666666667)","(3.2, 5.1, 5.02741935483871)","(2.4, 2.8, 2.7907692307692304)","(12.0, 13.5, 13.36111111111111)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.2, 8.57037037037037)"
07-01-2023 12:23:01.085509,"(12.0, 12.5, 12.098958333333334)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.16666666666667)","(3.2, 5.1, 5.02741935483871)","(2.4, 2.8, 2.7907692307692304)","(12.0, 13.5, 13.295454545454545)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.2, 8.742857142857144)"
07-01-2023 12:23:02.152400,"(12.0, 12.5, 12.095)","(71.0, 100.0, 78.57142857142857)","(51.0, 85.0, 84.16666666666667)","(3.2, 5.1, 5.023809523809524)","(2.4, 2.8, 2.7849999999999997)","(12.0, 13.5, 13.295454545454545)","(6.5, 7.4, 7.358620689655173)","(8.0, 9.0, 8.675862068965518)"
