,Foxpath,Lika Swift,Acrion,Atlantic Ridge,Ricco Doro,Gone Ahead,Kiloran Bay,Bella Cinque,Fine Rebel,Invest And Profit,Move On Over,Martha Lavinia
07-01-2023 12:52:04.103235,"(6.0, 7.6, 7.133333333333334)","(21.0, 40.0, 37.714285714285715)","(4.4, 5.1, 4.745631067961165)","(6.0, 8.6, 7.533333333333333)","(14.0, 18.0, 16.875)","(41.0, 85.0, 60.0)","(21.0, 50.0, 48.6)","(11.0, 15.5, 14.333333333333334)","(8.0, 12.0, 10.646153846153847)","(13.0, 20.0, 19.0)","(41.0, 85.0, 68.33333333333333)","(4.8, 6.0, 5.729268292682927)"
07-01-2023 12:52:06.190466,"(6.0, 7.4, 7.376470588235295)","(21.0, 40.0, 37.714285714285715)","(4.4, 5.1, 4.748192771084337)","(6.0, 8.2, 7.571428571428571)","(14.0, 18.0, 17.2)","(41.0, 85.0, 65.0)","(21.0, 50.0, 48.72727272727273)","(11.0, 15.5, 14.90625)","(8.0, 12.0, 10.646153846153847)","(13.0, 20.0, 19.0)","(41.0, 85.0, 68.33333333333333)","(4.8, 6.0, 5.790566037735849)"
07-01-2023 12:52:07.915082,"(6.0, 7.4, 7.376470588235295)","(21.0, 40.0, 37.714285714285715)","(4.4, 5.1, 4.748192771084337)","(6.0, 8.0, 7.571428571428571)","(14.0, 18.0, 17.2)","(41.0, 75.0, 60.0)","(21.0, 50.0, 48.72727272727273)","(11.0, 15.5, 14.90625)","(8.0, 12.0, 10.646153846153847)","(13.0, 20.0, 19.0)","(41.0, 85.0, 68.33333333333333)","(4.8, 6.0, 5.790566037735849)"
07-01-2023 12:52:09.781808,"(6.0, 7.4, 7.376470588235295)","(21.0, 40.0, 37.714285714285715)","(4.4, 5.1, 4.748192771084337)","(6.0, 8.0, 7.571428571428571)","(14.0, 18.0, 17.2)","(41.0, 75.0, 60.0)","(21.0, 50.0, 44.0)","(11.0, 15.5, 14.90625)","(8.0, 12.0, 10.646153846153847)","(13.0, 20.0, 19.0)","(41.0, 85.0, 68.33333333333333)","(4.8, 6.0, 5.790566037735849)"
07-01-2023 12:52:11.425561,"(6.0, 7.4, 7.376470588235295)","(21.0, 40.0, 37.714285714285715)","(4.4, 5.1, 4.597706422018349)","(6.0, 8.0, 7.571428571428571)","(14.0, 18.0, 17.2)","(41.0, 75.0, 60.0)","(21.0, 50.0, 46.0)","(11.0, 15.5, 14.90625)","(8.0, 12.0, 10.646153846153847)","(13.0, 20.0, 19.0)","(41.0, 85.0, 68.33333333333333)","(4.8, 6.0, 5.8882352941176475)"
07-01-2023 12:52:13.009925,"(6.0, 7.4, 7.376470588235295)","(21.0, 40.0, 36.0)","(4.4, 5.0, 4.894736842105263)","(6.0, 8.0, 7.571428571428571)","(14.0, 18.0, 17.743589743589745)","(41.0, 75.0, 60.0)","(21.0, 50.0, 46.0)","(11.0, 15.5, 14.25)","(8.0, 12.0, 10.646153846153847)","(13.0, 20.0, 19.0)","(41.0, 85.0, 75.0)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:14.579365,"(6.0, 8.0, 7.7)","(21.0, 40.0, 36.0)","(4.4, 5.0, 4.701012145748988)","(6.0, 8.0, 7.571428571428571)","(14.0, 17.5, 16.375)","(41.0, 70.0, 60.0)","(21.0, 50.0, 46.0)","(11.0, 15.0, 14.25)","(8.0, 12.0, 10.646153846153847)","(13.0, 20.0, 19.0)","(41.0, 85.0, 77.0)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:16.364967,"(6.0, 8.6, 8.266666666666666)","(21.0, 40.0, 36.0)","(4.2, 4.8, 4.701012145748988)","(6.0, 8.0, 7.571428571428571)","(14.0, 17.5, 16.375)","(41.0, 70.0, 58.0)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.0, 12.0, 10.646153846153847)","(13.0, 20.0, 19.0)","(41.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:18.123651,"(6.0, 8.6, 8.266666666666666)","(21.0, 40.0, 36.0)","(4.2, 4.8, 4.701010101010101)","(6.0, 8.0, 7.571428571428571)","(14.0, 17.5, 16.375)","(41.0, 70.0, 58.0)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.5, 12.0, 10.646153846153847)","(14.0, 20.0, 19.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.8954545454545455)"
07-01-2023 12:52:19.808648,"(6.0, 8.6, 8.457142857142857)","(21.0, 40.0, 32.857142857142854)","(4.2, 4.8, 4.701010101010101)","(6.0, 8.0, 7.571428571428571)","(14.0, 17.5, 16.375)","(41.0, 70.0, 58.0)","(21.0, 50.0, 47.6)","(11.0, 15.0, 14.25)","(8.5, 12.0, 10.646153846153847)","(14.0, 20.0, 19.0)","(51.0, 85.0, 78.33333333333333)","(4.8, 5.9, 5.8954545454545455)"
