,Jubay,Cupids Song,Astrayal,Hes Clever,Gettin Spicy,Rockin Chair,Curb That Tiger,Shade Tree Corner,Windsors Star,Missionary
07-01-2023 11:42:17.545596,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:19.072649,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:20.689195,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:22.108426,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:23.514089,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:25.089173,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:26.538259,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:27.977498,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:29.388471,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:30.687978,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:31.970395,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:33.364092,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:34.637977,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:35.846844,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:37.161898,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:38.477855,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:39.777005,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:40.987956,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:42.239026,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:43.555509,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:44.723524,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:45.940511,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:47.259049,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:48.596748,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:49.859238,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:51.105737,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:52.324659,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:53.530111,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:54.709719,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
07-01-2023 11:42:55.933935,"(18.0, 230.0, 194.0)","(11.0, 21.0, 15.5)","(6.5, 230.0, 174.25)","(3.1, 230.0, 173.3875)","(26.0, 230.0, 125.5)","(13.0, 26.0, 19.8)","(41.0, 230.0, 132.0)","(8.5, 230.0, 174.95)","(5.5, 12.0, 8.266666666666667)","(4.4, 230.0, 173.775)"
