,Phantom Divine,Mister Hemsworth,Bucks Party,Sir Tom,Competition,Rabairneach,Ranhita,Highland Cathedral,Stella Simone,Luisana,Golden Honour,Dhyani,Diaco
07-01-2023 15:06:07.816841,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 4.2, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 10.0, 8.675)","(10.0, 18.0, 16.5)","(12.0, 24.0, 18.5)","(7.5, 17.5, 10.214285714285714)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:09.413311,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.5)","(7.5, 17.5, 10.214285714285714)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:10.885742,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.5)","(7.5, 17.5, 10.214285714285714)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:12.260186,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.5)","(7.5, 17.5, 12.972727272727273)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:13.707160,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.5)","(7.5, 17.5, 12.972727272727273)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:15.175717,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.5)","(7.5, 17.5, 12.972727272727273)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:16.642799,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.5)","(7.5, 17.5, 12.64)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:18.091852,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.5)","(7.5, 17.5, 12.64)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:19.514213,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.5)","(7.5, 17.5, 12.64)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
07-01-2023 15:06:21.003942,"(31.0, 150.0, 64.28571428571428)","(10.0, 16.5, 15.6)","(3.7, 3.9, 3.8833333333333333)","(6.5, 9.8, 9.714285714285715)","(5.5, 9.6, 9.0)","(10.0, 17.5, 15.875)","(12.0, 24.0, 18.5)","(7.5, 17.5, 12.64)","(21.0, 70.0, 28.333333333333336)","(21.0, 80.0, 65.0)","(26.0, 75.0, 58.333333333333336)","(18.0, 48.0, 40.375)","(17.0, 34.0, 30.916666666666668)"
