,Test The Law,Deep Point,Midnight Rush,Whatsanamegeorge,Zebella,Our Shining Star,Sir Toop,Soames,Im A Dexstar
07-01-2023 13:18:11.030615,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.2, 9.10204081632653)","(5.5, 6.8, 6.550769230769231)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.175862068965517)","(9.0, 14.5, 12.961538461538462)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.6)","(91.0, 220.0, 160.0)"
07-01-2023 13:18:12.312896,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.2, 9.10204081632653)","(5.5, 6.8, 6.550769230769231)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.175862068965517)","(9.0, 14.5, 12.961538461538462)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.6)","(91.0, 220.0, 160.0)"
07-01-2023 13:18:13.619269,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.2, 9.10204081632653)","(5.5, 6.8, 6.550769230769231)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.175862068965517)","(9.0, 14.5, 12.961538461538462)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.6)","(91.0, 220.0, 160.0)"
07-01-2023 13:18:14.924384,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.2, 9.10204081632653)","(5.5, 6.8, 6.550769230769231)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.175862068965517)","(9.0, 14.5, 12.961538461538462)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.6)","(91.0, 220.0, 160.0)"
07-01-2023 13:18:16.168332,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.2, 8.899999999999999)","(5.5, 6.8, 6.550769230769231)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.061538461538461)","(9.0, 14.5, 12.961538461538462)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.6)","(91.0, 220.0, 160.0)"
07-01-2023 13:18:17.405291,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.2, 8.899999999999999)","(5.5, 6.8, 6.535294117647059)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.061538461538461)","(9.0, 14.5, 12.681818181818182)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.466666666666667)","(91.0, 220.0, 160.0)"
07-01-2023 13:18:18.682172,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.2, 9.0)","(5.5, 6.8, 6.550769230769231)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.08)","(9.0, 14.5, 12.681818181818182)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.6)","(91.0, 220.0, 160.0)"
07-01-2023 13:18:19.946124,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.2, 9.0)","(5.5, 6.8, 6.550769230769231)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.08)","(9.0, 14.5, 12.681818181818182)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.6)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:21.185641,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.2, 9.0)","(5.5, 6.8, 6.565217391304348)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.0)","(9.0, 14.5, 12.642857142857142)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.6)","(91.0, 220.0, 180.0)"
07-01-2023 13:18:22.428916,"(5.5, 7.2, 7.127272727272727)","(6.5, 9.6, 9.4)","(5.5, 6.8, 6.565217391304348)","(11.0, 17.0, 14.0)","(3.5, 4.2, 4.0)","(9.0, 14.5, 12.642857142857142)","(10.0, 16.0, 14.553333333333333)","(8.0, 9.8, 9.466666666666667)","(91.0, 220.0, 180.0)"
