,Westar Commander,Incineration,Nehalem,Mr Beets,Gomez Bale,Orbital Bale,Lovaz Bale,Spaghetti Legs
07-01-2023 19:08:16.930076,"(4.2, 7.6, 6.75)","(9.0, 16.0, 11.3125)","(4.8, 8.2, 6.108695652173912)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 37.27272727272727)","(7.5, 14.5, 13.120000000000001)","(21.0, 55.0, 35.55555555555556)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:18.216160,"(4.2, 7.6, 6.75)","(9.0, 16.5, 11.3125)","(4.8, 8.2, 6.108695652173912)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 37.27272727272727)","(7.5, 14.5, 13.120000000000001)","(21.0, 55.0, 35.55555555555556)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:19.565662,"(4.2, 7.6, 6.75)","(9.0, 16.5, 11.3125)","(4.8, 8.2, 6.108695652173912)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 37.27272727272727)","(7.5, 14.5, 13.120000000000001)","(21.0, 55.0, 35.55555555555556)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:21.005799,"(4.2, 7.6, 6.7749999999999995)","(9.0, 16.5, 11.3125)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 37.27272727272727)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:22.333269,"(4.2, 7.6, 6.7749999999999995)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 32.77777777777778)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:23.540297,"(4.2, 7.6, 6.7749999999999995)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 32.77777777777778)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:24.988572,"(4.2, 7.6, 6.7749999999999995)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 32.77777777777778)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:26.398051,"(4.2, 7.6, 4.821052631578947)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 32.77777777777778)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:27.977310,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 32.77777777777778)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
07-01-2023 19:08:29.388674,"(4.2, 7.6, 4.88235294117647)","(9.0, 16.5, 9.75)","(4.8, 8.2, 5.2749999999999995)","(2.25, 3.1, 2.309411764705882)","(10.0, 60.0, 32.77777777777778)","(7.5, 14.5, 11.15)","(21.0, 55.0, 26.666666666666668)","(31.0, 130.0, 65.0)"
