,Lieutenant Jack,Hoppers Dream,Mamma Kass,Monsieur Steel,Calculating Dancer,Our Major Jack Nz,Thiswaytothebeach,Trade Whispers
07-01-2023 20:45:48.415756,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 160.0)"
07-01-2023 20:45:49.716355,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 160.0)"
07-01-2023 20:45:50.977520,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 160.0)"
07-01-2023 20:45:52.343493,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 160.0)"
07-01-2023 20:45:53.682916,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 160.0)"
07-01-2023 20:45:55.035022,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 160.0)"
07-01-2023 20:45:56.700869,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:45:58.175471,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:45:59.447904,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
07-01-2023 20:46:00.697521,"(4.8, 6.8, 5.666666666666666)","(26.0, 42.0, 39.0)","(9.0, 14.0, 12.685714285714287)","(6.0, 9.8, 7.8)","(5.0, 5.9, 5.36)","(2.1, 99999, 99990)","(8.0, 12.5, 11.2)","(101.0, 200.0, 123.33333333333334)"
