,Hell Of A Boy,Buster Block,Bottom Line,Alis Jab,Bonython,Higher Love,Vitae
07-01-2023 14:47:23.632041,"(3.4, 3.9, 3.8235294117647056)","(31.0, 50.0, 35.333333333333336)","(10.0, 17.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.56, 2.52)","(19.0, 44.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:24.903879,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:26.153136,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:27.378828,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:28.572522,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:29.713944,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:30.787693,"(3.4, 3.9, 3.861764705882353)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.8500000000000005)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:31.778108,"(3.4, 4.0, 3.9008695652173913)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.909090909090909)","(2.4, 2.54, 2.52)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:32.895321,"(3.4, 4.0, 3.9008695652173913)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.909090909090909)","(2.4, 2.54, 2.5415384615384617)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:34.028391,"(3.4, 4.0, 3.9008695652173913)","(31.0, 50.0, 35.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.705555555555556)","(2.4, 2.56, 2.5633333333333335)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 32.5)"
07-01-2023 14:47:35.038701,"(3.4, 4.0, 3.9558139534883723)","(31.0, 50.0, 33.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.705555555555556)","(2.4, 2.58, 2.5633333333333335)","(19.0, 32.0, 20.923076923076923)","(21.0, 42.0, 38.83333333333333)"
07-01-2023 14:47:36.093822,"(3.4, 4.0, 3.811570247933884)","(31.0, 50.0, 33.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.705555555555556)","(2.4, 2.58, 2.5633333333333335)","(19.0, 32.0, 25.0)","(21.0, 42.0, 38.83333333333333)"
07-01-2023 14:47:37.191025,"(3.4, 4.0, 3.811570247933884)","(31.0, 48.0, 41.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 30.0, 25.0)","(21.0, 42.0, 38.83333333333333)"
07-01-2023 14:47:38.273233,"(3.4, 4.0, 3.805128205128205)","(31.0, 48.0, 41.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 30.0, 25.0)","(21.0, 42.0, 38.83333333333333)"
07-01-2023 14:47:39.391000,"(3.4, 4.0, 3.805128205128205)","(31.0, 48.0, 41.333333333333336)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 30.0, 23.375)","(21.0, 42.0, 38.83333333333333)"
07-01-2023 14:47:40.371162,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 29.0, 23.375)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:41.396978,"(3.4, 4.0, 3.9558139534883723)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 29.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:42.575489,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:43.521855,"(3.4, 4.0, 3.8674418604651164)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:44.560646,"(3.4, 4.0, 3.8674418604651164)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:45.599195,"(3.4, 4.0, 3.8674418604651164)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:46.559309,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:47.540335,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:48.497363,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.571428571428571)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:49.547699,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:50.588457,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:51.572328,"(3.4, 4.0, 3.805128205128205)","(31.0, 46.0, 41.5)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
07-01-2023 14:47:52.677474,"(3.4, 4.0, 3.805128205128205)","(31.0, 44.0, 40.0)","(10.0, 16.0, 13.152542372881356)","(3.2, 5.5, 4.6875)","(2.4, 2.58, 2.5633333333333335)","(19.0, 28.0, 24.8)","(21.0, 42.0, 36.57142857142857)"
