,Aims Jubilee,Dixie Yodeler,Sarahs Warrior,Iheartrainacomn,Tennis Tap,Ex Rated,How Is She,Bays Castle
07-01-2023 11:19:30.009764,"(5.0, 6.8, 6.171428571428572)","(3.2, 4.3, 3.9857142857142858)","(7.5, 230.0, 174.65)","(9.0, 230.0, 174.95)","(5.0, 230.0, 173.925)","(16.0, 230.0, 175.125)","(13.0, 230.0, 175.125)","(6.5, 230.0, 174.35)"
07-01-2023 11:19:31.140124,"(5.0, 6.8, 6.171428571428572)","(3.2, 4.3, 3.9857142857142858)","(7.5, 230.0, 174.65)","(9.0, 230.0, 174.95)","(5.0, 230.0, 173.925)","(16.0, 230.0, 175.125)","(13.0, 230.0, 175.125)","(6.5, 230.0, 174.35)"
07-01-2023 11:19:32.293860,"(5.0, 6.8, 6.171428571428572)","(3.2, 4.3, 3.9857142857142858)","(7.5, 230.0, 174.65)","(9.0, 230.0, 174.95)","(5.0, 230.0, 173.925)","(16.0, 230.0, 175.125)","(13.0, 230.0, 175.125)","(6.5, 230.0, 174.35)"
07-01-2023 11:19:33.511262,"(5.0, 6.8, 6.171428571428572)","(3.2, 4.3, 3.9857142857142858)","(7.5, 230.0, 174.65)","(9.0, 230.0, 174.95)","(5.0, 230.0, 173.925)","(16.0, 230.0, 175.125)","(13.0, 230.0, 175.125)","(6.5, 230.0, 174.35)"
07-01-2023 11:19:34.766533,"(5.0, 6.8, 6.171428571428572)","(3.2, 4.3, 3.9857142857142858)","(7.5, 230.0, 174.65)","(9.0, 230.0, 174.95)","(5.0, 230.0, 173.925)","(16.0, 230.0, 175.125)","(13.0, 230.0, 175.125)","(6.5, 230.0, 174.35)"
07-01-2023 11:19:35.891441,"(5.0, 6.8, 6.171428571428572)","(3.2, 4.3, 3.9857142857142858)","(7.5, 230.0, 174.65)","(9.0, 230.0, 174.95)","(5.0, 230.0, 173.925)","(16.0, 230.0, 175.125)","(13.0, 230.0, 175.125)","(6.5, 230.0, 174.35)"
07-01-2023 11:19:36.997857,"(5.0, 6.8, 6.171428571428572)","(3.2, 4.3, 3.9857142857142858)","(7.5, 230.0, 174.65)","(9.0, 230.0, 174.95)","(5.0, 230.0, 173.925)","(16.0, 230.0, 175.125)","(13.0, 230.0, 175.125)","(6.5, 230.0, 174.35)"
07-01-2023 11:19:38.109116,"(5.0, 6.8, 6.171428571428572)","(3.2, 4.3, 3.9857142857142858)","(7.5, 230.0, 174.65)","(9.0, 230.0, 174.95)","(5.0, 230.0, 173.925)","(16.0, 230.0, 175.125)","(13.0, 230.0, 175.125)","(6.5, 230.0, 174.35)"
07-01-2023 11:19:39.250942,"(5.0, 6.8, 6.171428571428572)","(3.2, 4.3, 3.9857142857142858)","(7.5, 230.0, 174.65)","(9.0, 230.0, 174.95)","(5.0, 230.0, 173.925)","(16.0, 230.0, 175.125)","(13.0, 230.0, 175.125)","(6.5, 230.0, 174.35)"
07-01-2023 11:19:40.347890,"(5.0, 6.8, 6.171428571428572)","(3.2, 4.3, 3.9857142857142858)","(7.5, 230.0, 174.65)","(9.0, 230.0, 174.95)","(5.0, 230.0, 173.925)","(16.0, 230.0, 175.125)","(13.0, 230.0, 175.125)","(6.5, 230.0, 174.35)"
