,Shes Roses,Lektra Dish,Blazin Cool,Devils Spirit,Mt View Jewel,Dr Earnie,Establishment
07-01-2023 09:55:01.377957,"(2.4, 3.4, 3.145)","(4.0, 7.0, 4.3088235294117645)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.4, 4.272222222222222)","(8.5, 20.0, 13.555555555555555)"
07-01-2023 09:55:02.615757,"(2.4, 3.4, 3.145)","(4.0, 7.0, 4.3088235294117645)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.4, 4.272222222222222)","(8.5, 20.0, 13.555555555555555)"
07-01-2023 09:55:03.858704,"(2.4, 3.25, 2.835)","(4.0, 7.0, 4.3088235294117645)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.4, 4.272222222222222)","(8.5, 20.0, 14.8)"
07-01-2023 09:55:05.002289,"(2.4, 3.25, 2.835)","(4.0, 7.0, 4.3088235294117645)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.4, 3.875)","(8.5, 18.0, 14.8)"
07-01-2023 09:55:06.073186,"(2.4, 3.25, 2.835)","(4.0, 7.0, 4.3088235294117645)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.5, 4.016666666666667)","(8.5, 18.0, 14.8)"
07-01-2023 09:55:07.124497,"(2.4, 3.25, 2.5385714285714287)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.4, 4.183333333333334)","(8.5, 18.0, 14.8)"
07-01-2023 09:55:08.096360,"(2.4, 3.25, 2.5385714285714287)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 18.0, 14.8)"
07-01-2023 09:55:09.170313,"(2.4, 3.25, 2.5385714285714287)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 18.0, 14.8)"
07-01-2023 09:55:10.304748,"(2.4, 3.25, 2.5385714285714287)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 18.0, 14.8)"
07-01-2023 09:55:11.411630,"(2.4, 3.25, 2.5385714285714287)","(4.0, 7.2, 4.33235294117647)","(21.0, 80.0, 46.111111111111114)","(21.0, 70.0, 41.388888888888886)","(81.0, 560.0, 135.0)","(2.45, 4.3, 4.183333333333334)","(8.5, 18.0, 14.8)"
