,Fiorucci Mama,Universal Playboy,Invisible String,Kelvinater,Hang Glider,Playthatfunkymusic,Indie Ruler,Mia Gusto,Deetea
07-01-2023 15:30:27.578479,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.2, 6.5)","(7.0, 7.6, 7.4399999999999995)","(12.0, 16.0, 17.0)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 53.666666666666664)","(5.0, 5.7, 5.414285714285715)","(7.0, 11.0, 10.0)"
07-01-2023 15:30:29.008971,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.0, 6.5)","(7.0, 7.6, 7.4399999999999995)","(12.0, 20.0, 17.0)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 53.666666666666664)","(5.0, 5.7, 5.414285714285715)","(7.0, 11.0, 10.3)"
07-01-2023 15:30:30.472682,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.0, 6.5)","(7.0, 7.6, 7.4399999999999995)","(12.0, 20.0, 17.0)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 53.666666666666664)","(5.0, 5.7, 5.414285714285715)","(7.0, 11.0, 10.3)"
07-01-2023 15:30:31.979226,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.0, 6.5)","(7.0, 7.6, 7.4399999999999995)","(12.0, 20.0, 17.0)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 53.666666666666664)","(5.0, 5.7, 5.414285714285715)","(7.0, 11.0, 10.3)"
07-01-2023 15:30:33.377196,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.0, 6.5)","(7.0, 7.6, 7.4399999999999995)","(12.0, 20.0, 17.0)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 53.666666666666664)","(5.0, 5.7, 5.414285714285715)","(7.0, 11.0, 10.3)"
07-01-2023 15:30:34.668017,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.0, 6.5)","(7.0, 7.6, 7.4399999999999995)","(12.0, 20.0, 17.0)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 53.666666666666664)","(5.0, 5.7, 5.414285714285715)","(7.0, 11.0, 10.3)"
07-01-2023 15:30:35.999084,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.0, 6.75)","(7.0, 7.6, 7.4399999999999995)","(12.0, 20.0, 16.5)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 53.666666666666664)","(5.0, 5.7, 5.414285714285715)","(7.0, 11.0, 10.3)"
07-01-2023 15:30:37.444295,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.2, 7.0)","(7.0, 7.6, 7.4399999999999995)","(12.0, 19.5, 16.5)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 52.333333333333336)","(5.0, 5.7, 5.506451612903226)","(7.0, 11.0, 10.0)"
07-01-2023 15:30:39.081121,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.2, 6.7)","(7.0, 7.6, 7.4399999999999995)","(12.0, 19.5, 16.5)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 52.333333333333336)","(5.0, 5.7, 5.506451612903226)","(7.0, 11.0, 10.0)"
07-01-2023 15:30:40.469121,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.2, 6.5636363636363635)","(7.0, 7.6, 7.4399999999999995)","(12.0, 19.5, 16.5)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 52.333333333333336)","(5.0, 5.7, 5.506451612903226)","(7.0, 11.0, 10.0)"
07-01-2023 15:30:41.858457,"(4.6, 5.6, 5.453333333333333)","(6.0, 8.2, 7.771428571428571)","(4.8, 7.2, 6.5636363636363635)","(7.0, 7.6, 7.4399999999999995)","(12.0, 19.5, 16.5)","(16.0, 27.0, 23.571428571428573)","(41.0, 65.0, 52.333333333333336)","(5.0, 5.7, 5.598305084745763)","(7.0, 11.0, 10.0)"
