,Better Tomorrow,Samedi,Pentacost,Apollo Blu,Hunka Hunka Harry,One Man Band,Danali,Wynsome Maid,Princess Pancakes,Chelsea Toff,Luminara,Ski Zoom
07-01-2023 14:34:45.204281,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.5)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:34:46.789648,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.5)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:34:48.272267,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.5)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:34:49.677385,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.5)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:34:51.086926,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.5)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:34:52.540515,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.5)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:34:58.150557,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.5)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:34:59.562654,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.0, 10.5)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:01.002998,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 13.0, 11.76)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:02.432413,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 11.266666666666667)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:03.889709,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:05.291315,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:06.735999,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:08.192261,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:09.629861,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.525)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:11.151369,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.525)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:12.572669,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.525)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:13.997480,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.525)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:15.383581,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.525)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:16.778650,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.525)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:18.148400,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.525)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:19.555732,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:21.098651,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.85)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:22.564532,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 11.266666666666667)","(16.0, 27.0, 25.857142857142858)"
07-01-2023 14:35:23.960487,"(4.8, 7.4, 6.95)","(5.0, 6.4, 5.65)","(6.0, 12.5, 11.56)","(17.0, 80.0, 55.8)","(26.0, 90.0, 66.0)","(16.0, 75.0, 56.666666666666664)","(18.0, 80.0, 65.25)","(21.0, 32.0, 31.1)","(5.5, 6.2, 6.1695652173913045)","(12.0, 18.5, 18.205882352941178)","(8.0, 12.5, 10.75)","(16.0, 27.0, 25.857142857142858)"
