,Carmelized,Lockdown Vanna,Makinlimmargaritas,Playing For Two,Golden Sally,Smokin Lady,Showthemoneyhoney,Polish The Diamond,Xposed Secret,Stryda
07-01-2023 09:55:10.667605,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:12.123828,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:13.548827,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:15.009876,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:16.418465,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:17.837657,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:19.222430,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:20.495998,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:21.814121,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:23.127816,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
07-01-2023 09:55:24.455036,"(13.0, 55.0, 40.33333333333333)","(13.0, 55.0, 40.33333333333333)","(13.0, 26.0, 18.5)","(11.0, 55.0, 43.75)","(17.0, 230.0, 157.66666666666666)","(5.5, 8.6, 6.95)","(17.0, 230.0, 157.66666666666666)","(6.0, 9.6, 7.709090909090909)","(26.0, 230.0, 177.25)","(2.1, 2.84, 2.042777777777778)"
