,Go Wild Ethan,Spring Piper,Add To Cart,Mulgowie Belle,Blue Rex,Jurys Out,Sweet Indie,Jamie Tartt
07-01-2023 20:32:17.104337,"(4.4, 9.4, 9.072727272727274)","(3.5, 4.2, 3.6166666666666667)","(19.0, 38.0, 27.166666666666664)","(7.0, 11.0, 8.777777777777779)","(6.0, 10.5, 6.27)","(31.0, 85.0, 70.25)","(4.6, 11.5, 10.8)","(4.4, 8.0, 5.157894736842105)"
07-01-2023 20:32:18.279740,"(4.4, 9.4, 9.072727272727274)","(3.5, 4.2, 3.6166666666666667)","(19.0, 38.0, 27.166666666666664)","(7.0, 11.0, 8.777777777777779)","(6.0, 10.5, 6.27)","(31.0, 85.0, 70.25)","(4.6, 11.5, 10.8)","(4.4, 8.0, 5.157894736842105)"
07-01-2023 20:32:19.498639,"(4.4, 9.4, 9.072727272727274)","(3.5, 4.2, 3.6166666666666667)","(19.0, 38.0, 27.166666666666664)","(7.0, 11.0, 8.777777777777779)","(6.0, 10.5, 6.27)","(31.0, 85.0, 70.25)","(4.6, 11.5, 9.142857142857142)","(4.4, 8.0, 5.157894736842105)"
07-01-2023 20:32:20.806222,"(4.4, 9.4, 7.300000000000001)","(3.5, 4.2, 3.6166666666666667)","(19.0, 38.0, 27.166666666666664)","(7.0, 11.0, 8.777777777777779)","(6.0, 10.5, 6.27)","(31.0, 85.0, 70.25)","(4.6, 11.5, 9.142857142857142)","(4.4, 8.0, 5.157894736842105)"
07-01-2023 20:32:22.018816,"(4.4, 9.4, 7.300000000000001)","(3.5, 4.2, 3.6166666666666667)","(19.0, 38.0, 27.166666666666664)","(7.0, 11.0, 8.777777777777779)","(6.0, 10.5, 6.27)","(31.0, 85.0, 70.25)","(4.6, 11.5, 9.142857142857142)","(4.4, 8.0, 5.157894736842105)"
07-01-2023 20:32:23.173127,"(4.4, 9.4, 7.300000000000001)","(3.5, 4.2, 3.6166666666666667)","(19.0, 38.0, 27.166666666666664)","(7.0, 11.0, 8.777777777777779)","(6.0, 10.5, 6.27)","(31.0, 85.0, 70.25)","(4.6, 11.5, 9.142857142857142)","(4.4, 8.0, 5.157894736842105)"
07-01-2023 20:32:24.280051,"(4.4, 9.4, 7.300000000000001)","(3.5, 4.2, 3.6166666666666667)","(19.0, 38.0, 27.166666666666664)","(7.0, 11.0, 8.777777777777779)","(6.0, 10.5, 6.27)","(31.0, 85.0, 70.25)","(4.6, 11.5, 9.142857142857142)","(4.4, 8.0, 5.157894736842105)"
07-01-2023 20:32:25.388155,"(4.4, 9.4, 7.300000000000001)","(3.5, 4.2, 3.6166666666666667)","(19.0, 38.0, 27.166666666666664)","(7.0, 11.0, 8.777777777777779)","(6.0, 10.5, 6.27)","(31.0, 85.0, 70.25)","(4.6, 11.5, 9.142857142857142)","(4.4, 8.0, 5.157894736842105)"
07-01-2023 20:32:26.530113,"(4.4, 9.4, 7.300000000000001)","(3.5, 4.2, 3.6166666666666667)","(19.0, 38.0, 27.166666666666664)","(7.0, 11.0, 8.777777777777779)","(6.0, 10.5, 6.27)","(31.0, 85.0, 70.25)","(4.6, 11.5, 9.142857142857142)","(4.4, 8.0, 5.157894736842105)"
07-01-2023 20:32:27.712162,"(4.4, 9.4, 7.300000000000001)","(3.5, 4.2, 3.6166666666666667)","(19.0, 38.0, 27.166666666666664)","(7.0, 11.0, 8.777777777777779)","(6.0, 10.5, 6.27)","(31.0, 85.0, 70.25)","(4.6, 11.5, 9.142857142857142)","(4.4, 8.0, 5.157894736842105)"
