,Cheval De Vaga,Pyms Royale,Time Scale,Cash Away,Hint Of Mint,Magniforce,Tadweer,Goddess Of Giving,My Dilemma
07-01-2023 16:45:08.221280,"(4.6, 5.3, 5.045454545454546)","(61.0, 160.0, 140.0)","(3.8, 4.8, 4.7375)","(10.0, 16.5, 14.208333333333334)","(31.0, 110.0, 84.4)","(26.0, 42.0, 38.88)","(3.5, 4.5, 4.26)","(4.8, 5.0, 4.935294117647059)","(13.0, 19.0, 16.375)"
07-01-2023 16:45:09.552281,"(4.6, 5.3, 5.045454545454546)","(61.0, 160.0, 140.0)","(3.8, 5.0, 4.7375)","(10.0, 16.5, 14.208333333333334)","(31.0, 110.0, 84.4)","(26.0, 42.0, 38.88)","(3.5, 4.5, 4.26)","(4.8, 5.0, 4.935294117647059)","(13.0, 19.0, 16.375)"
07-01-2023 16:45:11.221469,"(4.6, 5.2, 5.084615384615385)","(61.0, 160.0, 140.0)","(3.8, 5.0, 4.76)","(10.0, 16.5, 14.208333333333334)","(31.0, 110.0, 84.4)","(26.0, 42.0, 38.88)","(3.5, 4.5, 4.26)","(4.8, 5.0, 4.935294117647059)","(13.0, 19.0, 16.375)"
07-01-2023 16:45:12.540232,"(4.6, 5.2, 5.033333333333333)","(61.0, 160.0, 140.0)","(3.8, 5.0, 4.76)","(10.0, 16.5, 14.208333333333334)","(31.0, 110.0, 87.33333333333334)","(26.0, 42.0, 38.88)","(3.5, 4.5, 4.26)","(4.8, 5.0, 4.924)","(13.0, 19.0, 16.375)"
07-01-2023 16:45:14.083775,"(4.6, 5.2, 5.033333333333333)","(61.0, 160.0, 140.0)","(3.8, 5.0, 4.76)","(10.0, 16.5, 14.208333333333334)","(31.0, 110.0, 87.33333333333334)","(26.0, 42.0, 36.8)","(3.5, 4.5, 4.26)","(4.8, 5.1, 4.966666666666667)","(13.0, 19.0, 16.375)"
07-01-2023 16:45:15.525779,"(4.6, 5.2, 5.033333333333333)","(61.0, 160.0, 140.0)","(3.8, 5.0, 4.76)","(10.0, 16.5, 14.208333333333334)","(31.0, 110.0, 82.8)","(26.0, 42.0, 35.80952380952381)","(3.5, 4.5, 4.26)","(4.8, 5.0, 4.8)","(13.0, 19.0, 16.375)"
07-01-2023 16:45:16.964369,"(4.6, 5.2, 5.033333333333333)","(61.0, 160.0, 140.0)","(3.8, 5.0, 4.85)","(10.0, 16.5, 14.208333333333334)","(31.0, 110.0, 82.8)","(26.0, 42.0, 34.57142857142857)","(3.5, 4.5, 4.26)","(4.8, 5.0, 4.683783783783784)","(13.0, 19.0, 16.375)"
07-01-2023 16:45:18.266215,"(4.6, 5.2, 5.174025974025974)","(61.0, 160.0, 140.0)","(3.8, 5.0, 4.85)","(10.0, 16.5, 14.208333333333334)","(31.0, 110.0, 82.8)","(26.0, 42.0, 34.57142857142857)","(3.5, 4.5, 4.26)","(4.8, 4.7, 4.956756756756756)","(13.0, 19.0, 16.375)"
07-01-2023 16:45:19.815633,"(4.6, 5.2, 5.174025974025974)","(61.0, 160.0, 140.0)","(3.8, 5.0, 4.85)","(10.0, 16.5, 14.208333333333334)","(31.0, 110.0, 82.8)","(26.0, 42.0, 34.57142857142857)","(3.5, 4.5, 4.26)","(4.8, 5.0, 4.956756756756756)","(13.0, 19.0, 16.375)"
07-01-2023 16:45:21.291432,"(4.6, 5.2, 5.083561643835616)","(61.0, 160.0, 140.0)","(3.8, 5.0, 4.85)","(10.0, 16.5, 14.208333333333334)","(31.0, 110.0, 82.8)","(26.0, 42.0, 34.57142857142857)","(3.5, 4.5, 4.26)","(4.8, 5.0, 4.956756756756756)","(13.0, 19.0, 16.375)"
