,Variara,Paramedic,Flyway,Nabbed,Imperial Seal,Oriedos,Seafaring,Sino Witness,Tallu,Tiger Queen,Decibelles,Lady Nelson
07-01-2023 11:01:47.537093,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.8514285714285714)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.4, 3.757142857142857)","(11.0, 17.5, 16.98979591836735)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.0, 11.8)","(101.0, 230.0, 175.0)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
07-01-2023 11:01:48.938261,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.8514285714285714)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.4, 3.757142857142857)","(11.0, 17.5, 16.98979591836735)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.0, 11.575)","(101.0, 230.0, 198.57142857142856)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
07-01-2023 11:01:50.259439,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.8514285714285714)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.4, 3.757142857142857)","(11.0, 17.5, 16.98979591836735)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.0, 11.575)","(101.0, 230.0, 198.57142857142856)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
07-01-2023 11:01:51.586274,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.86)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.4, 3.757142857142857)","(11.0, 17.5, 16.98979591836735)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.0, 11.575)","(101.0, 230.0, 198.57142857142856)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
07-01-2023 11:01:52.919893,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.86)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.3, 3.7583333333333333)","(11.0, 17.5, 16.71276595744681)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.0, 11.575)","(101.0, 230.0, 175.0)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
07-01-2023 11:01:54.253276,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.86)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.3, 3.7583333333333333)","(11.0, 17.0, 16.32608695652174)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.0, 11.575)","(101.0, 230.0, 198.57142857142856)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
07-01-2023 11:01:55.575084,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.86)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.3, 3.7583333333333333)","(11.0, 16.5, 16.32608695652174)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.0, 11.575)","(101.0, 230.0, 175.0)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
07-01-2023 11:01:56.926459,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.86)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.3, 3.7583333333333333)","(11.0, 16.5, 16.32608695652174)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.0, 11.575)","(101.0, 230.0, 198.57142857142856)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
07-01-2023 11:01:58.301320,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.86)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.3, 3.7583333333333333)","(11.0, 16.5, 16.32608695652174)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.0, 11.575)","(101.0, 230.0, 175.0)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
07-01-2023 11:01:59.594499,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.84)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.3, 3.7583333333333333)","(11.0, 16.5, 16.32608695652174)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.0, 10.875)","(101.0, 230.0, 198.57142857142856)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
07-01-2023 11:02:00.871082,"(13.0, 30.0, 28.125)","(2.45, 2.92, 2.84)","(9.0, 10.5, 10.379310344827585)","(3.2, 4.3, 3.7583333333333333)","(11.0, 16.5, 16.32608695652174)","(18.0, 30.0, 29.285714285714285)","(8.0, 12.5, 10.875)","(101.0, 230.0, 175.0)","(71.0, 220.0, 155.0)","(61.0, 200.0, 120.0)","(101.0, 210.0, 152.5)","(31.0, 130.0, 97.19999999999999)"
