,Idyllic Sky,Lala Speed,Iron Atlas,Extreme Rage,Royal Gypsy,Angus Anchovy,Osprey Knight
07-01-2023 17:23:45.204229,"(3.5, 5.5, 5.311111111111111)","(11.0, 22.0, 20.833333333333336)","(1.9, 2.72, 2.3333333333333335)","(5.5, 15.5, 10.754545454545454)","(9.0, 19.0, 14.3)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 30.2)"
07-01-2023 17:23:46.422793,"(3.5, 5.5, 5.311111111111111)","(11.0, 22.0, 19.666666666666668)","(1.9, 2.72, 2.3333333333333335)","(5.5, 15.5, 10.754545454545454)","(9.0, 20.0, 13.6)","(17.0, 80.0, 64.57142857142858)","(15.0, 50.0, 25.857142857142858)"
07-01-2023 17:23:47.684054,"(3.5, 5.2, 4.754545454545455)","(11.0, 22.0, 18.88888888888889)","(1.85, 2.72, 2.3333333333333335)","(5.5, 15.5, 10.754545454545454)","(9.0, 20.0, 13.6)","(16.0, 80.0, 64.57142857142858)","(15.0, 48.0, 38.75)"
07-01-2023 17:23:48.979686,"(3.5, 5.5, 4.959090909090909)","(11.0, 22.0, 18.88888888888889)","(1.85, 2.72, 2.3333333333333335)","(5.5, 15.5, 10.754545454545454)","(9.0, 20.0, 13.6)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 38.75)"
07-01-2023 17:23:50.070627,"(3.5, 5.5, 4.982608695652174)","(11.0, 22.0, 18.88888888888889)","(1.85, 2.72, 2.3333333333333335)","(5.5, 15.5, 10.754545454545454)","(9.0, 20.0, 13.6)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 38.75)"
07-01-2023 17:23:51.079658,"(3.5, 5.5, 4.982608695652174)","(11.0, 22.0, 18.88888888888889)","(1.85, 2.72, 2.3333333333333335)","(5.5, 15.5, 10.754545454545454)","(9.0, 20.0, 13.6)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 38.75)"
07-01-2023 17:23:52.133269,"(3.5, 5.5, 4.982608695652174)","(11.0, 22.0, 18.043478260869566)","(1.85, 2.72, 2.3333333333333335)","(5.5, 15.5, 10.754545454545454)","(9.0, 20.0, 13.6)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 38.75)"
07-01-2023 17:23:53.248660,"(3.5, 5.6, 5.052173913043478)","(11.0, 21.0, 20.0)","(1.85, 2.72, 2.1663636363636365)","(5.5, 15.5, 10.754545454545454)","(9.0, 20.0, 13.6)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 38.75)"
07-01-2023 17:23:54.454496,"(3.5, 5.5, 5.311111111111111)","(11.0, 23.0, 21.666666666666664)","(1.85, 2.42, 2.196)","(5.5, 15.5, 10.754545454545454)","(9.0, 20.0, 13.6)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 38.75)"
07-01-2023 17:23:55.446788,"(3.5, 5.5, 5.311111111111111)","(11.0, 23.0, 21.666666666666664)","(1.85, 2.42, 2.196)","(5.5, 15.5, 10.754545454545454)","(9.0, 20.0, 13.6)","(16.0, 80.0, 64.57142857142858)","(15.0, 46.0, 38.75)"
