,Tiger Magic,Row Keeping,Polygon Monelli,Jumpy Keeping,Sudden Rain,Dark Light,Westdale Anarchy,Churro
07-01-2023 21:09:17.424919,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:18.580770,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:19.718236,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:20.980346,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:22.345526,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:23.575356,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:24.696891,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:25.859666,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:27.003518,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:28.175292,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:29.332143,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:30.484995,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 174.0)"
07-01-2023 21:09:31.677705,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 172.0)"
07-01-2023 21:09:32.888385,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 172.0)"
07-01-2023 21:09:34.076521,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 172.0)"
07-01-2023 21:09:35.285920,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 172.0)"
07-01-2023 21:09:36.442585,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 172.0)"
07-01-2023 21:09:37.562911,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 172.0)"
07-01-2023 21:09:38.722620,"(6.5, 12.5, 6.2)","(21.0, 70.0, 41.66666666666667)","(20.0, 55.0, 33.611111111111114)","(4.0, 6.8, 5.593181818181818)","(1.75, 2.6, 2.1456842105263156)","(6.0, 10.0, 8.28)","(26.0, 110.0, 55.625)","(26.0, 300.0, 172.0)"
