,Hard Stride,Mount Horeb,Orsetto,Boogielu,Ever Bella,Deece Scent Kiss
07-01-2023 12:31:45.171877,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:46.142149,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:47.106798,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:48.030572,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:48.950200,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:49.937723,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:50.870185,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:51.818307,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:52.847588,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:53.887792,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:54.824218,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:55.701090,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:56.730002,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:57.803726,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:58.777153,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:31:59.721872,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:00.626887,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:01.644080,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:02.671773,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:03.560305,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:04.412504,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:05.453997,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:06.451265,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:07.372845,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:08.329640,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:09.286573,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:10.226502,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:11.152236,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:12.137793,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:13.074184,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:14.050684,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:15.000167,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:15.867215,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
07-01-2023 12:32:16.814440,"(19.0, 42.0, 35.57142857142857)","(19.0, 44.0, 33.5)","(4.2, 5.7, 5.5285714285714285)","(2.1, 2.6, 2.503846153846154)","(3.7, 5.0, 4.375)","(6.5, 12.0, 10.145454545454545)"
