,Shes Our Cruze,Piazza Farnese,Urana Lot,Cry Wolf,Shanes Pick,Perfect Pacific,Tarantula
07-12-2022 19:55:04.502181,"(21.0, 250.0, 107.92857142857143)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 6.35)","(1.7, 1.87, 1.84741935483871)","(21.0, 90.0, 60.45454545454545)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.875)"
07-12-2022 19:55:05.687650,"(21.0, 250.0, 107.92857142857143)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 6.35)","(1.7, 1.87, 1.84741935483871)","(21.0, 90.0, 60.45454545454545)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.875)"
07-12-2022 19:55:07.053984,"(21.0, 250.0, 107.92857142857143)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 6.35)","(1.7, 1.87, 1.84741935483871)","(21.0, 90.0, 60.45454545454545)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.875)"
07-12-2022 19:55:08.199697,"(21.0, 250.0, 107.92857142857143)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 6.35)","(1.7, 1.87, 1.84741935483871)","(21.0, 90.0, 60.45454545454545)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.875)"
07-12-2022 19:55:09.247881,"(21.0, 250.0, 107.92857142857143)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 6.35)","(1.7, 1.87, 1.84741935483871)","(21.0, 90.0, 60.45454545454545)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.875)"
07-12-2022 19:55:10.338450,"(21.0, 250.0, 107.92857142857143)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 6.35)","(1.7, 1.87, 1.84741935483871)","(21.0, 90.0, 60.45454545454545)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.875)"
07-12-2022 19:55:11.515807,"(21.0, 250.0, 107.92857142857143)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 6.35)","(1.7, 1.87, 1.84741935483871)","(21.0, 90.0, 60.45454545454545)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.875)"
07-12-2022 19:55:12.860291,"(21.0, 250.0, 107.92857142857143)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 6.35)","(1.7, 1.87, 1.84741935483871)","(21.0, 90.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.875)"
07-12-2022 19:55:14.189461,"(21.0, 250.0, 107.92857142857143)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 6.35)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.875)"
07-12-2022 19:55:15.328687,"(21.0, 250.0, 107.92857142857143)","(21.0, 220.0, 95.28571428571429)","(4.6, 8.0, 6.35)","(1.7, 1.87, 1.84741935483871)","(21.0, 85.0, 57.72727272727273)","(4.2, 5.4, 5.12)","(6.5, 22.0, 19.875)"
