,Sunset Bling,Bernardo Eight,Time To Reign,Buddy Beauty,Ladies Day,Leading Diva,Press Agent,Beep Bop
07-12-2022 19:30:03.407853,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 85.0, 46.25)","(5.0, 10.0, 6.866666666666667)","(6.0, 11.0, 9.285714285714285)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:04.713248,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.6555555555555554)","(26.0, 85.0, 46.25)","(5.0, 10.0, 6.866666666666667)","(6.0, 11.0, 9.575)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:05.888332,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.0, 2.6555555555555554)","(26.0, 85.0, 46.25)","(5.0, 10.0, 6.866666666666667)","(6.0, 11.0, 10.123076923076923)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 5.207692307692308)"
07-12-2022 19:30:07.011440,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.0, 2.557142857142857)","(26.0, 85.0, 46.25)","(5.0, 10.0, 9.32857142857143)","(6.0, 11.0, 9.575)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 5.207692307692308)"
07-12-2022 19:30:08.196300,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.0, 2.6555555555555554)","(26.0, 85.0, 46.25)","(5.0, 9.8, 9.157142857142858)","(6.0, 11.0, 9.575)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 5.207692307692308)"
07-12-2022 19:30:09.385406,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.0, 2.498095238095238)","(26.0, 85.0, 46.25)","(5.0, 9.8, 9.157142857142858)","(6.0, 11.0, 9.275)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 5.207692307692308)"
07-12-2022 19:30:10.632836,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 85.0, 46.25)","(5.0, 9.8, 9.157142857142858)","(6.0, 11.0, 9.275)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:11.870012,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 85.0, 46.25)","(5.0, 9.8, 9.157142857142858)","(6.0, 11.0, 9.275)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:13.360692,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 85.0, 46.25)","(5.0, 9.8, 9.157142857142858)","(6.0, 11.0, 9.275)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:14.623616,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 85.0, 46.25)","(5.0, 9.8, 9.157142857142858)","(6.0, 11.0, 9.275)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:15.946895,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.0, 2.6555555555555554)","(26.0, 85.0, 46.25)","(5.0, 9.8, 9.157142857142858)","(6.0, 11.0, 9.6)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:17.729092,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.285714285714285)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:19.253990,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.6555555555555554)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.575)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:20.770282,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.0, 2.6555555555555554)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.575)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:22.088752,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.0, 2.5076190476190474)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.275)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:23.349682,"(17.0, 55.0, 34.16666666666667)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.6)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:24.662611,"(17.0, 55.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 85.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.6)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:26.050273,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.285714285714285)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:27.276955,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.285714285714285)","(16.0, 44.0, 28.166666666666664)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:28.546059,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.575)","(16.0, 44.0, 29.944444444444443)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:29.907277,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.575)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:31.270738,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.575)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:32.411773,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.5076190476190474)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.275)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:33.490061,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.15, 2.448444444444444)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.275)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:34.605239,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.15, 2.3579545454545454)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 10.12)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.663157894736842)"
07-12-2022 19:30:35.708573,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.1, 2.54)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 10.12)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.663157894736842)"
07-12-2022 19:30:36.782266,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.1, 2.492)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 10.12)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.663157894736842)"
07-12-2022 19:30:37.941502,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.1, 2.492)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 10.12)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:39.046953,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.1, 2.492)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.2)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:40.170708,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.6555555555555554)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.2)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:41.349947,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.6555555555555554)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.2)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:42.505044,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.6555555555555554)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.5)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:43.748071,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.6555555555555554)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 10.076923076923077)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.663157894736842)"
07-12-2022 19:30:45.026926,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.4752380952380952)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.5)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:46.166148,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.4752380952380952)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.5)","(16.0, 48.0, 29.944444444444443)","(4.6, 6.8, 5.257142857142857)"
07-12-2022 19:30:47.301090,"(17.0, 60.0, 36.388888888888886)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.4752380952380952)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.275)","(16.0, 48.0, 31.75)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:48.400823,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.4752380952380952)","(26.0, 90.0, 48.125)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.114285714285714)","(16.0, 48.0, 31.75)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:49.514460,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.6)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:50.553077,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 9.6)","(16.0, 46.0, 30.75)","(4.6, 6.8, 6.074193548387097)"
07-12-2022 19:30:51.649658,"(17.0, 60.0, 38.75)","(6.0, 11.0, 8.6)","(2.35, 3.05, 2.4752380952380952)","(26.0, 85.0, 46.25)","(5.0, 7.8, 6.663636363636363)","(6.0, 11.0, 7.550000000000001)","(16.0, 46.0, 30.75)","(4.6, 6.8, 5.257142857142857)"
