,Whata Reactor,Little Auckland,Lurking,Eastbro Tex,Gulmarg,Whata Challenge,The Crom,Caught Out,Nevaevabend
07-12-2022 20:47:23.455859,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:25.400185,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:27.426464,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:29.481163,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:31.146995,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:33.374095,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:35.605607,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:37.262357,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:38.869587,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:40.688913,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:42.395753,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:43.861740,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:45.294597,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:46.664450,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:48.009700,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:49.400092,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:50.840425,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
07-12-2022 20:47:52.170451,"(2.8, 4.0, 3.41)","(51.0, 140.0, 110.0)","(4.6, 6.2, 5.514285714285714)","(21.0, 42.0, 24.857142857142858)","(5.5, 9.2, 7.866666666666666)","(19.0, 38.0, 23.0)","(6.5, 10.5, 9.35)","(4.2, 6.0, 4.859999999999999)","(21.0, 40.0, 33.85714285714286)"
