,Gold Mate,Milkman Neil,Miss Cosmic Lee,Jebrynah Sol,Ocean Explorer,Let Fly,Cypress Bale
07-12-2022 21:02:23.940297,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:24.931300,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:26.006346,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:27.209462,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:28.498817,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:29.629432,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:30.720931,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:31.792367,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:32.930255,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:34.191982,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:35.535902,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:36.769631,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 15.75)","(12.0, 28.0, 24.8)","(13.0, 29.0, 21.708333333333332)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:37.916506,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 11.863636363636363)","(12.0, 28.0, 24.8)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:38.984732,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 12.954545454545455)","(12.0, 28.0, 24.8)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:40.127096,"(12.0, 38.0, 23.555555555555557)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 12.954545454545455)","(12.0, 28.0, 24.9)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:41.391195,"(12.0, 38.0, 23.833333333333336)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 12.954545454545455)","(12.0, 28.0, 24.9)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:42.499734,"(12.0, 38.0, 23.833333333333336)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 12.954545454545455)","(12.0, 28.0, 24.9)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:43.628004,"(12.0, 38.0, 23.833333333333336)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 12.954545454545455)","(12.0, 28.0, 24.9)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:44.648688,"(12.0, 38.0, 23.833333333333336)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 12.954545454545455)","(12.0, 28.0, 24.9)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:45.639272,"(12.0, 38.0, 23.833333333333336)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 12.954545454545455)","(12.0, 28.0, 24.9)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:46.676430,"(12.0, 38.0, 23.833333333333336)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 12.954545454545455)","(12.0, 28.0, 24.9)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:47.665115,"(12.0, 38.0, 23.833333333333336)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 12.954545454545455)","(12.0, 28.0, 24.9)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
07-12-2022 21:02:48.761322,"(12.0, 38.0, 23.833333333333336)","(1.9, 2.7, 2.0196)","(3.7, 5.9, 4.059090909090909)","(10.0, 19.5, 12.954545454545455)","(12.0, 28.0, 24.9)","(13.0, 29.0, 18.375)","(6.0, 11.0, 9.0125)"
