,Bailing Out,Raw Eleven,Juniors Junior,Roma Blue,Freddie Loco
07-12-2022 18:37:46.249834,"(10.0, 12.0, 10.891304347826086)","(2.05, 2.58, 2.3746666666666667)","(17.0, 26.0, 23.91304347826087)","(2.9, 3.5, 3.3)","(4.8, 6.2, 6.033333333333333)"
07-12-2022 18:37:47.128411,"(10.0, 12.0, 11.021739130434783)","(2.05, 2.58, 2.384444444444444)","(17.0, 26.0, 24.0)","(2.9, 3.5, 3.3)","(4.8, 6.2, 6.033333333333333)"
07-12-2022 18:37:47.960573,"(10.0, 12.0, 11.021739130434783)","(2.05, 2.58, 2.415)","(17.0, 26.0, 22.571428571428573)","(2.9, 3.45, 3.33)","(4.8, 6.2, 6.182857142857143)"
07-12-2022 18:37:48.804388,"(10.0, 12.0, 11.021739130434783)","(2.05, 2.58, 2.384444444444444)","(17.0, 26.0, 22.571428571428573)","(2.9, 3.5, 3.3727272727272726)","(4.8, 6.2, 6.182857142857143)"
07-12-2022 18:37:49.607392,"(10.0, 12.0, 11.021739130434783)","(2.05, 2.58, 2.384444444444444)","(17.0, 26.0, 24.0)","(2.9, 3.5, 3.3285714285714287)","(4.8, 6.2, 6.154545454545454)"
07-12-2022 18:37:50.430980,"(10.0, 12.0, 11.021739130434783)","(2.05, 2.58, 2.3757142857142854)","(17.0, 26.0, 24.0)","(2.9, 3.5, 3.373684210526316)","(4.8, 6.2, 6.154545454545454)"
07-12-2022 18:37:51.354532,"(10.0, 12.0, 11.021739130434783)","(2.05, 2.58, 2.3757142857142854)","(17.0, 26.0, 24.0)","(2.9, 3.5, 3.373684210526316)","(4.8, 6.2, 6.154545454545454)"
07-12-2022 18:37:52.182495,"(10.0, 12.0, 11.021739130434783)","(2.05, 2.58, 2.3757142857142854)","(17.0, 26.0, 24.0)","(2.9, 3.5, 3.373684210526316)","(4.8, 6.2, 6.154545454545454)"
07-12-2022 18:37:53.184195,"(10.0, 12.0, 11.021739130434783)","(2.05, 2.58, 2.3757142857142854)","(17.0, 26.0, 24.0)","(2.9, 3.5, 3.373684210526316)","(4.8, 6.2, 6.154545454545454)"
07-12-2022 18:37:54.030684,"(10.0, 12.0, 11.021739130434783)","(2.05, 2.58, 2.3757142857142854)","(17.0, 26.0, 24.0)","(2.9, 3.5, 3.373684210526316)","(4.8, 6.2, 6.154545454545454)"
07-12-2022 18:37:54.851513,"(10.0, 12.0, 11.021739130434783)","(2.05, 2.58, 2.3757142857142854)","(17.0, 26.0, 24.0)","(2.9, 3.5, 3.373684210526316)","(4.8, 6.2, 6.154545454545454)"
07-12-2022 18:37:55.668987,"(10.0, 11.5, 11.261904761904763)","(2.05, 2.58, 2.389333333333333)","(17.0, 26.0, 24.0)","(2.9, 3.5, 3.3222222222222224)","(4.8, 6.2, 6.154545454545454)"
