,Spotlight,Aldebaran Gwen,This Quaker,My High Peak,Little Tedey,Bellmac Bambi,Regency,Majestic Achiever Nz
07-12-2022 17:43:39.067415,"(3.6, 5.8, 5.74)","(16.0, 30.0, 28.714285714285715)","(41.0, 95.0, 88.33333333333334)","(4.8, 6.0, 5.928571428571429)","(26.0, 40.0, 34.0)","(41.0, 70.0, 58.75)","(1.65, 1.92, 1.8496296296296297)","(41.0, 99999, 99990)"
07-12-2022 17:43:40.114463,"(3.6, 5.9, 5.794117647058824)","(16.0, 30.0, 28.714285714285715)","(41.0, 95.0, 88.33333333333334)","(4.8, 6.4, 5.928571428571429)","(26.0, 40.0, 34.0)","(41.0, 70.0, 58.75)","(1.65, 1.92, 1.8496296296296297)","(41.0, 99999, 99990)"
07-12-2022 17:43:41.138246,"(3.6, 5.9, 5.75)","(16.0, 30.0, 28.714285714285715)","(41.0, 95.0, 88.33333333333334)","(4.8, 6.4, 5.928571428571429)","(26.0, 40.0, 34.0)","(41.0, 70.0, 58.75)","(1.65, 1.92, 1.8496296296296297)","(41.0, 99999, 99990)"
07-12-2022 17:43:42.348211,"(3.6, 5.8, 5.7)","(16.0, 30.0, 28.714285714285715)","(41.0, 95.0, 88.33333333333334)","(4.8, 6.4, 5.92)","(26.0, 40.0, 34.0)","(41.0, 70.0, 58.75)","(1.65, 1.92, 1.8814285714285715)","(41.0, 99999, 99990)"
07-12-2022 17:43:43.694065,"(3.6, 5.8, 5.746666666666666)","(16.0, 30.0, 28.714285714285715)","(41.0, 95.0, 88.33333333333334)","(4.8, 6.4, 5.928571428571429)","(26.0, 40.0, 34.0)","(41.0, 70.0, 58.75)","(1.65, 1.92, 1.8814285714285715)","(41.0, 99999, 99990)"
07-12-2022 17:43:44.762524,"(3.6, 5.8, 5.508333333333333)","(16.0, 30.0, 28.714285714285715)","(41.0, 95.0, 88.33333333333334)","(4.8, 6.4, 5.928571428571429)","(26.0, 40.0, 34.0)","(41.0, 70.0, 58.75)","(1.65, 1.91, 1.86)","(41.0, 99999, 99990)"
07-12-2022 17:43:45.763827,"(3.6, 5.8, 5.508333333333333)","(16.0, 30.0, 28.714285714285715)","(41.0, 95.0, 88.33333333333334)","(4.8, 6.4, 5.928571428571429)","(26.0, 40.0, 34.0)","(41.0, 70.0, 58.75)","(1.65, 1.91, 1.86)","(41.0, 99999, 99990)"
07-12-2022 17:43:46.740031,"(3.6, 5.8, 5.508333333333333)","(16.0, 30.0, 28.714285714285715)","(41.0, 95.0, 88.33333333333334)","(4.8, 6.4, 5.928571428571429)","(26.0, 40.0, 34.0)","(41.0, 70.0, 58.75)","(1.65, 1.91, 1.86)","(41.0, 99999, 99990)"
07-12-2022 17:43:47.770722,"(3.6, 5.8, 5.640909090909091)","(16.0, 30.0, 28.875)","(41.0, 95.0, 124.0)","(4.8, 6.4, 5.928571428571429)","(26.0, 40.0, 34.0)","(41.0, 95.0, 81.66666666666667)","(1.65, 1.91, 1.86)","(41.0, 99999, 99990)"
07-12-2022 17:43:48.839387,"(3.6, 5.8, 5.6)","(16.0, 30.0, 28.875)","(41.0, 160.0, 124.0)","(4.8, 6.4, 5.928571428571429)","(26.0, 40.0, 34.0)","(41.0, 95.0, 81.66666666666667)","(1.65, 1.91, 1.86)","(41.0, 99999, 99990)"
