,Gudgeon Pin,Good Charlotte,Get A Shout,Roma Bella,Prabaker,Pepperberry,Manawata,Dr Archer
07-12-2022 19:09:46.647772,"(2.0, 2.6, 2.2776)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:47.876205,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:49.122309,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:50.358761,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:51.511029,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:52.782858,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:53.874414,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:54.955949,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:56.121732,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:57.305123,"(2.0, 2.6, 2.2776)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:58.378441,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:09:59.364620,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
07-12-2022 19:10:00.505362,"(2.0, 2.6, 2.115625)","(20.0, 75.0, 49.54545454545455)","(13.0, 28.0, 25.2)","(3.7, 5.5, 5.13)","(15.0, 50.0, 28.75)","(19.0, 70.0, 38.4375)","(18.0, 60.0, 36.66666666666667)","(4.2, 6.2, 5.533333333333333)"
