,Office Bad Boy,Matai Reactor,Perfect Feeling,Duke Nz,Bettor Rocknroll,After Darn,Jang Pel,Abbey Diadema,Regal Nightshade Nz
07-12-2022 18:19:41.686707,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:43.047629,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:44.333460,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:45.561186,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:46.824141,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:48.000227,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:49.245926,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:50.577348,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:51.770655,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:52.970374,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:54.143085,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:55.384407,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.0625)","(10.0, 14.0, 12.25)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:56.849566,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 14.0, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:58.117107,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:19:59.351249,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:00.715384,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:01.961161,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:03.111175,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:04.460324,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:05.691186,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:07.181924,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:08.441688,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.333333333333336)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:09.577823,"(4.8, 7.8, 6.6)","(3.2, 4.3, 3.825)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.85714285714286)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:10.841452,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.164285714285715)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.85714285714286)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:12.117930,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.164285714285715)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.85714285714286)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:13.313984,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.164285714285715)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.85714285714286)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
07-12-2022 18:20:14.560202,"(4.8, 7.8, 6.6)","(3.2, 4.3, 4.164285714285715)","(10.0, 13.5, 12.0)","(9.0, 99999, 99990)","(2.7, 3.75, 3.5225)","(31.0, 85.0, 57.0)","(21.0, 42.0, 36.85714285714286)","(14.0, 27.0, 23.5)","(17.0, 99999, 99990)"
