,Alfie Solomon,Unique Mundine,Shared Colour,Never Sweet,Pleasure Cruise,Opal Key,Sugar Hit Lenny
07-12-2022 20:54:50.005571,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:54:51.177720,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:54:52.237730,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:54:53.338260,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:54:54.448718,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:54:55.628017,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:54:56.752727,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:54:57.887989,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:54:59.040773,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:00.132870,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:01.228397,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:02.279228,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:03.380721,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:04.434414,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:05.496750,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:06.601633,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:07.588917,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:08.550225,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:09.675865,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:10.956610,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:12.082753,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:13.182455,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:14.488031,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:15.799536,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:17.068682,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:18.486856,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:20.222748,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:21.226563,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
07-12-2022 20:55:22.343656,"(4.0, 7.6, 4.9818181818181815)","(3.9, 4.8, 3.84)","(9.0, 18.0, 16.91764705882353)","(4.8, 9.4, 5.72)","(3.6, 6.0, 3.6717391304347826)","(7.0, 16.0, 7.9)","(18.0, 70.0, 46.36363636363637)"
