,Another Chino,Cartanera,Dustys Got Talent,Kerman Rock,Blue Card,Shes Our Witness,Allegiance,Truevinsky,Comealilbitcloser,Idle Star,Masaru,Belafonte Boy,Paigeys Turn
07-12-2022 18:37:40.371095,"(7.5, 8.4, 8.374774774774774)","(2.1, 2.46, 2.451111111111111)","(31.0, 42.0, 39.44444444444444)","(26.0, 32.0, 30.4)","(21.0, 29.0, 27.895522388059703)","(12.0, 13.5, 14.101063829787234)","(26.0, 36.0, 33.407407407407405)","(31.0, 55.0, 53.98148148148148)","(6.0, 6.4, 6.067524115755627)","(41.0, 60.0, 58.07692307692308)","(31.0, 55.0, 56.875)","(71.0, 120.0, 107.6)","(17.0, 21.0, 20.772727272727273)"
07-12-2022 18:37:41.852560,"(7.5, 8.4, 8.246153846153845)","(2.1, 2.5, 2.483826714801444)","(31.0, 42.0, 39.3)","(26.0, 32.0, 30.4)","(21.0, 28.0, 27.890625)","(12.0, 14.5, 14.157894736842104)","(26.0, 34.0, 33.407407407407405)","(31.0, 55.0, 53.98148148148148)","(6.0, 6.2, 6.064473684210526)","(41.0, 60.0, 57.083333333333336)","(31.0, 60.0, 56.666666666666664)","(71.0, 110.0, 107.65625)","(17.0, 21.0, 20.772727272727273)"
07-12-2022 18:37:43.356412,"(7.5, 8.4, 8.234285714285713)","(2.1, 2.48, 2.4746067415730337)","(31.0, 42.0, 40.68571428571428)","(26.0, 32.0, 30.4)","(21.0, 28.0, 27.890625)","(12.0, 14.5, 14.184615384615384)","(26.0, 34.0, 33.407407407407405)","(31.0, 55.0, 53.98148148148148)","(6.0, 6.2, 6.064473684210526)","(41.0, 60.0, 57.94117647058823)","(31.0, 60.0, 58.63636363636363)","(71.0, 110.0, 108.06451612903226)","(17.0, 21.0, 20.871794871794872)"
07-12-2022 18:37:44.776368,"(7.5, 8.4, 8.279166666666667)","(2.1, 2.46, 2.4545283018867923)","(31.0, 42.0, 40.68571428571428)","(26.0, 32.0, 30.4)","(21.0, 28.0, 27.890625)","(12.0, 14.5, 14.184615384615384)","(26.0, 34.0, 33.1875)","(31.0, 55.0, 49.375)","(6.0, 6.2, 6.064262295081967)","(41.0, 60.0, 57.94117647058823)","(31.0, 60.0, 58.8)","(71.0, 110.0, 108.06451612903226)","(17.0, 22.0, 21.022222222222222)"
07-12-2022 18:37:46.333832,"(7.5, 8.4, 8.279166666666667)","(2.1, 2.46, 2.4546788990825688)","(31.0, 42.0, 40.85)","(26.0, 32.0, 30.4)","(21.0, 28.0, 27.890625)","(11.0, 15.0, 14.572727272727272)","(26.0, 34.0, 33.1875)","(31.0, 55.0, 50.333333333333336)","(6.0, 6.2, 6.041196013289037)","(41.0, 60.0, 57.94117647058823)","(31.0, 60.0, 58.8)","(71.0, 110.0, 106.57142857142857)","(17.0, 22.0, 21.022222222222222)"
07-12-2022 18:37:47.717547,"(7.5, 8.4, 8.334793187347932)","(2.1, 2.46, 2.4552272727272726)","(31.0, 42.0, 40.917647058823526)","(26.0, 32.0, 30.4)","(21.0, 28.0, 27.890625)","(11.0, 15.0, 14.572727272727272)","(26.0, 34.0, 33.1875)","(31.0, 55.0, 50.8)","(6.0, 6.2, 6.0285714285714285)","(41.0, 60.0, 57.94117647058823)","(31.0, 60.0, 58.8)","(71.0, 110.0, 106.91176470588235)","(17.0, 22.0, 21.022222222222222)"
07-12-2022 18:37:49.110897,"(7.5, 8.4, 8.334793187347932)","(2.1, 2.46, 2.4552272727272726)","(31.0, 42.0, 40.917647058823526)","(26.0, 32.0, 30.4)","(21.0, 28.0, 27.890625)","(11.0, 15.0, 14.583333333333334)","(26.0, 34.0, 33.1875)","(31.0, 55.0, 50.8)","(6.0, 6.2, 6.0285714285714285)","(41.0, 60.0, 57.94117647058823)","(31.0, 60.0, 58.8)","(71.0, 110.0, 106.91176470588235)","(17.0, 22.0, 21.022222222222222)"
07-12-2022 18:37:50.479000,"(7.5, 8.4, 8.32965879265092)","(2.1, 2.46, 2.4548888888888887)","(31.0, 42.0, 40.917647058823526)","(26.0, 32.0, 29.53846153846154)","(21.0, 29.0, 28.106796116504853)","(11.0, 15.0, 14.583333333333334)","(26.0, 34.0, 33.1875)","(31.0, 55.0, 52.0)","(6.0, 6.2, 6.0285714285714285)","(41.0, 60.0, 57.58620689655172)","(31.0, 60.0, 58.8)","(71.0, 110.0, 108.06451612903226)","(17.0, 22.0, 21.083333333333332)"
07-12-2022 18:37:51.952976,"(7.5, 8.4, 8.32965879265092)","(2.1, 2.44, 2.4297619047619046)","(31.0, 42.0, 40.8780487804878)","(26.0, 32.0, 30.51851851851852)","(21.0, 29.0, 28.106796116504853)","(12.0, 15.0, 14.833333333333334)","(26.0, 34.0, 33.1875)","(31.0, 55.0, 49.5)","(6.0, 6.2, 6.104892367906067)","(41.0, 60.0, 57.58620689655172)","(31.0, 60.0, 58.8)","(71.0, 110.0, 108.06451612903226)","(17.0, 22.0, 21.083333333333332)"
07-12-2022 18:37:53.478716,"(7.5, 8.4, 8.32965879265092)","(2.1, 2.44, 2.4265822784810127)","(31.0, 42.0, 40.8780487804878)","(26.0, 32.0, 30.51851851851852)","(21.0, 29.0, 28.106796116504853)","(12.0, 15.0, 14.916666666666666)","(26.0, 34.0, 33.1875)","(31.0, 55.0, 49.5)","(6.0, 6.2, 6.104892367906067)","(41.0, 60.0, 57.58620689655172)","(31.0, 60.0, 59.0)","(71.0, 110.0, 108.96551724137932)","(17.0, 22.0, 21.083333333333332)"
