,Ethical Dilemma,Our Little Ted,Rebel Factor,Coronation Keith,Jaja Chaboogie,Gee Gee Queen Bee,Majestic Diamond
07-12-2022 18:40:10.816534,"(11.0, 22.0, 20.804347826086957)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.093103448275862)"
07-12-2022 18:40:11.941402,"(11.0, 22.0, 20.804347826086957)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.093103448275862)"
07-12-2022 18:40:13.169005,"(11.0, 22.0, 20.804347826086957)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.093103448275862)"
07-12-2022 18:40:14.249113,"(11.0, 22.0, 18.785714285714285)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.093103448275862)"
07-12-2022 18:40:15.552117,"(11.0, 22.0, 18.785714285714285)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:16.778404,"(11.0, 22.0, 18.785714285714285)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:17.941839,"(11.0, 22.0, 20.81578947368421)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:19.305702,"(11.0, 22.0, 20.81578947368421)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:20.559717,"(11.0, 22.0, 20.81578947368421)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:21.660074,"(11.0, 22.0, 20.81578947368421)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:22.830841,"(11.0, 22.0, 20.81578947368421)","(17.0, 32.0, 28.666666666666668)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:24.119179,"(11.0, 22.0, 20.81578947368421)","(17.0, 34.0, 31.333333333333332)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:25.392505,"(11.0, 22.0, 20.81578947368421)","(17.0, 34.0, 32.0)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:26.606648,"(11.0, 22.0, 20.81578947368421)","(17.0, 34.0, 32.0)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:27.829017,"(11.0, 22.0, 20.81578947368421)","(17.0, 34.0, 32.0)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:29.038619,"(11.0, 22.0, 18.785714285714285)","(17.0, 34.0, 32.0)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:30.177760,"(11.0, 22.0, 18.785714285714285)","(17.0, 34.0, 32.0)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:31.182004,"(11.0, 22.0, 18.785714285714285)","(17.0, 34.0, 32.0)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:32.197850,"(11.0, 22.0, 18.785714285714285)","(17.0, 34.0, 32.0)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
07-12-2022 18:40:33.180410,"(11.0, 22.0, 18.785714285714285)","(17.0, 34.0, 32.0)","(1.75, 1.8, 1.7933333333333334)","(6.0, 11.0, 10.2125)","(12.0, 25.0, 24.4)","(16.0, 36.0, 30.75)","(4.2, 5.3, 5.06969696969697)"
