,A Rocknroll Star Nz,Sir Simon,Western Bill,Taylors Four,Rock The Nation Nz,Uncle Miki,Great Presence Nz,Tulhurst Terror,Better Than Lexy
07-12-2022 18:19:53.894322,"(6.0, 99999, 99990)","(2.35, 3.15, 2.9481818181818182)","(3.3, 3.7, 3.6500000000000004)","(17.0, 25.0, 25.57142857142857)","(51.0, 99999, 99990)","(7.0, 8.8, 8.466666666666667)","(51.0, 99999, 99990)","(8.0, 15.0, 14.863636363636363)","(51.0, 85.0, 76.42857142857143)"
07-12-2022 18:19:55.133114,"(6.0, 99999, 99990)","(2.35, 3.15, 2.9481818181818182)","(3.3, 3.7, 3.6500000000000004)","(17.0, 28.0, 25.57142857142857)","(51.0, 99999, 99990)","(7.0, 8.8, 8.466666666666667)","(51.0, 99999, 99990)","(8.0, 15.0, 13.777777777777779)","(51.0, 85.0, 76.42857142857143)"
07-12-2022 18:19:56.516133,"(6.0, 99999, 99990)","(2.35, 3.1, 3.0771428571428574)","(3.3, 3.7, 3.6500000000000004)","(17.0, 28.0, 26.444444444444443)","(51.0, 99999, 99990)","(7.0, 8.8, 8.533333333333333)","(51.0, 99999, 99990)","(8.0, 15.5, 13.777777777777779)","(51.0, 85.0, 76.42857142857143)"
07-12-2022 18:19:57.848461,"(6.0, 99999, 99990)","(2.35, 2.86, 2.847272727272727)","(3.3, 3.7, 3.6500000000000004)","(17.0, 27.0, 25.666666666666664)","(51.0, 99999, 99990)","(7.0, 9.2, 8.453333333333333)","(51.0, 99999, 99990)","(8.0, 15.5, 13.777777777777779)","(51.0, 85.0, 76.42857142857143)"
07-12-2022 18:19:59.099682,"(6.0, 99999, 99990)","(2.35, 2.86, 2.85125)","(3.3, 3.7, 3.6500000000000004)","(17.0, 28.0, 25.6)","(51.0, 99999, 99990)","(7.0, 9.2, 8.453333333333333)","(51.0, 99999, 99990)","(8.0, 15.5, 13.777777777777779)","(51.0, 85.0, 76.42857142857143)"
07-12-2022 18:20:00.371544,"(6.0, 99999, 99990)","(2.35, 2.86, 2.85125)","(3.3, 3.7, 3.6500000000000004)","(17.0, 28.0, 25.6)","(51.0, 99999, 99990)","(7.0, 9.2, 8.453333333333333)","(51.0, 99999, 99990)","(8.0, 15.5, 13.777777777777779)","(51.0, 85.0, 76.42857142857143)"
07-12-2022 18:20:01.541508,"(6.0, 99999, 99990)","(2.35, 2.86, 2.847272727272727)","(3.3, 3.7, 3.6500000000000004)","(17.0, 28.0, 25.333333333333332)","(51.0, 99999, 99990)","(7.0, 9.2, 8.48)","(51.0, 99999, 99990)","(8.0, 15.5, 13.846666666666668)","(51.0, 85.0, 76.42857142857143)"
07-12-2022 18:20:02.626932,"(6.0, 99999, 99990)","(2.35, 2.86, 2.847272727272727)","(3.3, 3.7, 3.6500000000000004)","(17.0, 28.0, 21.928571428571427)","(51.0, 99999, 99990)","(7.0, 9.2, 8.48)","(51.0, 99999, 99990)","(8.0, 15.5, 13.846666666666668)","(51.0, 85.0, 76.42857142857143)"
07-12-2022 18:20:03.928491,"(6.0, 99999, 99990)","(2.35, 2.86, 2.847272727272727)","(3.3, 3.7, 3.6500000000000004)","(17.0, 27.0, 21.6875)","(51.0, 99999, 99990)","(7.0, 8.8, 8.4)","(51.0, 99999, 99990)","(8.0, 15.5, 13.846666666666668)","(51.0, 85.0, 140.0)"
07-12-2022 18:20:05.189271,"(6.0, 99999, 99990)","(2.35, 2.86, 2.8529411764705883)","(3.3, 3.8, 3.7990825688073393)","(17.0, 27.0, 21.285714285714285)","(51.0, 99999, 99990)","(7.0, 8.8, 8.6)","(51.0, 99999, 99990)","(8.0, 15.5, 14.069230769230769)","(51.0, 210.0, 181.42857142857144)"
07-12-2022 18:20:06.366635,"(6.0, 99999, 99990)","(2.35, 2.86, 2.83)","(3.3, 3.9, 3.8963636363636365)","(17.0, 27.0, 21.285714285714285)","(41.0, 99999, 99990)","(6.5, 9.4, 8.333333333333334)","(51.0, 99999, 99990)","(9.0, 15.5, 14.8)","(51.0, 200.0, 160.0)"
