,Todling Bale,Widdicombe Bale,Zippy Artist,Four Barrels,My Mate Tip,Heffernan Bale,Wizardry Tricks,Mr Buck Lee
07-12-2022 19:39:35.395267,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:36.748782,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:38.119113,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:39.690083,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:41.177159,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:42.602665,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:44.055722,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:45.624983,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:47.152013,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:48.694703,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:50.198950,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 18.625)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:51.710924,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 19.272727272727273)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:53.122715,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 19.272727272727273)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:54.550949,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 19.272727272727273)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:55.807584,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 19.272727272727273)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:57.006334,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 19.272727272727273)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:58.196679,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 19.272727272727273)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:39:59.447009,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 22.769230769230766)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:40:00.741111,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 22.769230769230766)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
07-12-2022 19:40:02.000410,"(5.0, 8.6, 5.813333333333333)","(9.0, 18.0, 15.133333333333333)","(11.0, 40.0, 20.0)","(3.6, 5.8, 3.8227272727272723)","(4.0, 5.4, 5.035294117647059)","(8.5, 14.0, 9.927272727272728)","(6.5, 12.0, 8.8)","(9.0, 19.0, 10.5)"
