,Soho Rhapsody,Foolish Pleasure,Rosarito Miss,Villacci,Celestial Gossip,Relentless Me,Captain Bellasario,Knights Templar
07-12-2022 18:53:39.260697,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.14285714285714)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.6, 9.405000000000001)"
07-12-2022 18:53:40.652972,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.14285714285714)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.6, 9.4125)"
07-12-2022 18:53:42.040742,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.14285714285714)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.2933333333333334)","(6.5, 9.6, 9.1125)"
07-12-2022 18:53:43.795082,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.14285714285714)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.3)"
07-12-2022 18:53:45.229428,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.14285714285714)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.2933333333333334)","(6.5, 9.6, 9.1125)"
07-12-2022 18:53:46.678057,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.14285714285714)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.2933333333333334)","(6.5, 9.8, 9.1125)"
07-12-2022 18:53:48.075356,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.14285714285714)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.2933333333333334)","(6.5, 9.8, 9.1125)"
07-12-2022 18:53:49.358966,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.14285714285714)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.2933333333333334)","(6.5, 9.8, 9.1125)"
07-12-2022 18:53:50.587500,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.14285714285714)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.466666666666667)"
07-12-2022 18:53:51.806449,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.6, 9.466666666666667)"
07-12-2022 18:53:53.032999,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.6, 9.3)"
07-12-2022 18:53:54.336754,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.6, 9.433333333333334)"
07-12-2022 18:53:55.552972,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.285)","(6.5, 9.6, 9.094117647058825)"
07-12-2022 18:53:56.771904,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.285)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:53:57.986802,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.285)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:53:59.236387,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.428571428571429)"
07-12-2022 18:54:00.562863,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.285)","(6.5, 9.6, 9.094117647058825)"
07-12-2022 18:54:01.884136,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.285)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:03.155807,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.285)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:04.402141,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3825000000000003)","(6.5, 9.8, 9.211764705882352)"
07-12-2022 18:54:05.654541,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.375)","(6.5, 9.4, 9.1125)"
07-12-2022 18:54:07.005507,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.375)","(6.5, 9.8, 9.1125)"
07-12-2022 18:54:08.326206,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.375)","(6.5, 9.8, 9.1125)"
07-12-2022 18:54:09.611351,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.375)","(6.5, 9.8, 9.1125)"
07-12-2022 18:54:10.847379,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.375)","(6.5, 9.8, 9.1125)"
07-12-2022 18:54:12.181197,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 81.0)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.368)","(6.5, 9.8, 9.1125)"
07-12-2022 18:54:13.465971,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 120.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.1125)"
07-12-2022 18:54:14.719745,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.1125)"
07-12-2022 18:54:15.997090,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3200000000000003)","(6.5, 9.8, 9.211764705882352)"
07-12-2022 18:54:17.142485,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.4, 9.163636363636364)"
07-12-2022 18:54:18.388914,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.6, 9.094117647058825)"
07-12-2022 18:54:19.596833,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:20.895518,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:22.248347,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:23.465516,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:24.680001,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:25.833330,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 35.75)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.3066666666666666)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:26.930456,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:28.137659,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:29.306482,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:30.572347,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:31.839777,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 110.0, 87.33333333333334)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:33.067948,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 110.0, 80.66666666666666)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:34.381592,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 80.66666666666666)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:35.636995,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 80.66666666666666)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:36.928612,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 80.66666666666666)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:38.146629,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 80.66666666666666)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:39.332707,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:40.601423,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:41.747996,"(7.0, 11.0, 10.2)","(31.0, 80.0, 70.5)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:42.975744,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:44.155265,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:45.382481,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:46.617841,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:47.824611,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:49.031955,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:50.135708,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
07-12-2022 18:54:51.366676,"(7.0, 11.0, 10.2)","(31.0, 80.0, 68.0)","(11.0, 18.0, 14.666666666666666)","(26.0, 40.0, 28.666666666666668)","(41.0, 100.0, 65.2)","(3.3, 3.95, 3.5833333333333335)","(1.9, 2.48, 2.415)","(6.5, 9.8, 9.094117647058825)"
