,Suparazi,I Could Do Better,Oxley Jack,Pocket Change,Twiggy Pop,Kapanku,Rutherford,Star Buyer,Forbidden City
07-12-2022 17:57:46.237278,"(4.6, 5.1, 5.150537634408602)","(61.0, 110.0, 105.78947368421052)","(20.0, 28.0, 27.458333333333332)","(4.0, 4.5, 4.466403785488959)","(26.0, 34.0, 33.19178082191781)","(7.5, 9.0, 8.899280575539569)","(11.0, 14.5, 14.61864406779661)","(51.0, 90.0, 80.92592592592592)","(2.7, 3.25, 3.210090556274256)"
07-12-2022 17:57:47.495403,"(4.6, 5.2, 5.150537634408602)","(61.0, 110.0, 105.78947368421052)","(20.0, 28.0, 27.458333333333332)","(4.0, 4.5, 4.464373088685015)","(26.0, 34.0, 33.19178082191781)","(7.5, 9.0, 8.900709219858156)","(11.0, 15.0, 14.464285714285714)","(51.0, 85.0, 80.92592592592592)","(2.7, 3.25, 3.1774922918807813)"
07-12-2022 17:57:48.923314,"(4.6, 5.2, 5.1635135135135135)","(71.0, 110.0, 106.0)","(20.0, 28.0, 27.565217391304348)","(3.9, 4.5, 4.466133720930233)","(26.0, 34.0, 33.19178082191781)","(7.5, 9.0, 8.900709219858156)","(11.0, 15.0, 14.642857142857142)","(51.0, 85.0, 80.0)","(2.7, 3.2, 3.1744075829383887)"
07-12-2022 17:57:50.167997,"(4.6, 5.2, 5.19236641221374)","(71.0, 110.0, 105.88235294117646)","(20.0, 28.0, 27.5)","(3.9, 4.5, 4.466133720930233)","(26.0, 34.0, 33.19178082191781)","(7.5, 9.0, 8.878260869565217)","(11.0, 15.0, 14.352941176470589)","(51.0, 85.0, 78.75)","(2.7, 3.2, 3.210209102091021)"
07-12-2022 17:57:51.513581,"(4.6, 5.2, 5.173202614379085)","(71.0, 110.0, 105.88235294117646)","(20.0, 28.0, 27.5)","(3.9, 4.5, 4.3911147011308564)","(26.0, 34.0, 33.19178082191781)","(7.5, 9.0, 8.900709219858156)","(11.0, 14.5, 14.32638888888889)","(51.0, 80.0, 78.75)","(2.7, 3.25, 3.214118303571429)"
07-12-2022 17:57:52.830739,"(4.6, 5.2, 5.189761092150171)","(71.0, 110.0, 105.88235294117646)","(20.0, 28.0, 27.5)","(3.9, 4.4, 4.3911147011308564)","(26.0, 34.0, 33.19178082191781)","(7.5, 9.0, 8.900709219858156)","(11.0, 14.5, 14.32638888888889)","(51.0, 80.0, 78.75)","(2.7, 3.25, 3.212762237762238)"
07-12-2022 17:57:54.073863,"(4.6, 5.3, 5.206690140845071)","(71.0, 110.0, 105.88235294117646)","(20.0, 28.0, 27.5)","(3.9, 4.4, 4.374040219378428)","(26.0, 34.0, 32.770833333333336)","(7.5, 9.0, 8.884023668639054)","(11.0, 14.5, 14.373015873015873)","(51.0, 80.0, 78.54838709677419)","(2.7, 3.25, 3.2129279811097993)"
07-12-2022 17:57:55.289231,"(4.6, 5.3, 5.205185185185186)","(71.0, 110.0, 105.88235294117646)","(20.0, 28.0, 27.5)","(3.9, 4.4, 4.373055028462998)","(26.0, 34.0, 32.78350515463917)","(7.5, 9.0, 8.881927710843375)","(12.0, 14.5, 14.489583333333334)","(51.0, 80.0, 72.56410256410257)","(2.7, 3.25, 3.214798206278027)"
07-12-2022 17:57:56.575425,"(4.6, 5.3, 5.205185185185186)","(71.0, 110.0, 105.88235294117646)","(20.0, 28.0, 27.5)","(3.9, 4.4, 4.373055028462998)","(26.0, 34.0, 32.78350515463917)","(7.5, 9.0, 8.882424242424243)","(12.0, 14.5, 14.489583333333334)","(51.0, 75.0, 72.56410256410257)","(2.7, 3.25, 3.2083003952569173)"
07-12-2022 17:57:57.792825,"(4.6, 5.3, 5.196356275303644)","(71.0, 110.0, 106.42857142857143)","(20.0, 28.0, 27.5)","(3.9, 4.4, 4.383123028391167)","(26.0, 34.0, 32.78350515463917)","(7.5, 9.0, 8.882424242424243)","(12.0, 14.5, 14.489583333333334)","(61.0, 75.0, 72.56410256410257)","(2.7, 3.25, 3.1850093109869646)"
