,El Fernanda,Why Not Bryce,Rear View Mirror,Four Aces,Green Can Lad,Team Staffing,No Tax,Billy Bob Jordan
07-12-2022 19:49:47.935157,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:49:48.980730,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:49:50.128781,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:49:51.261863,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:49:52.412242,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:49:53.549252,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:49:54.650490,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:49:55.718693,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:49:56.790250,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:49:57.881556,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:49:58.992015,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:00.112287,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:01.229382,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:02.349073,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:03.480594,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:04.527282,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:05.534035,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 15.6)","(3.8, 6.2, 5.95)","(10.0, 18.0, 16.125)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:06.617335,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 13.90909090909091)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 20.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:07.640225,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 20.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:08.767094,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:09.906628,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.375)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:11.018834,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:12.143863,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:13.202054,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:14.206272,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:15.267900,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:16.348012,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:17.440561,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:18.581142,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:19.686664,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
07-12-2022 19:50:20.814603,"(5.0, 13.0, 9.133333333333333)","(8.5, 14.5, 12.642857142857142)","(3.0, 3.9, 3.387272727272727)","(11.0, 22.0, 19.5)","(10.0, 19.0, 17.11111111111111)","(3.8, 6.2, 5.95)","(10.0, 18.0, 17.0625)","(9.0, 16.0, 13.600000000000001)"
