,Goldngalaxy,Mata Ole Le Afa,Sheza Adda,Times Tickin,Last Mini Minor,Brooklyn Mai Tai
07-12-2022 13:28:56.261868,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.3266666666666667)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:28:57.325398,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.3266666666666667)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:28:58.457805,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.3266666666666667)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:28:59.630617,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.3266666666666667)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:00.641530,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:01.764652,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:02.870808,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:03.861761,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:04.848060,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:05.915927,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:06.992602,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:08.045084,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:08.958605,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:10.098145,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 9.9)"
07-12-2022 13:29:11.096940,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 10.6)"
07-12-2022 13:29:12.107799,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 10.6)"
07-12-2022 13:29:13.312153,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.0)","(8.0, 12.0, 10.6)"
07-12-2022 13:29:14.415890,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
07-12-2022 13:29:15.495489,"(2.1, 2.9, 2.4866666666666664)","(1.7, 2.5, 2.24)","(26.0, 46.0, 41.55555555555556)","(81.0, 360.0, 231.11111111111111)","(26.0, 40.0, 37.4)","(8.0, 12.0, 10.857142857142858)"
