,Aston Marley,Fired Up,Thunder Dash,Scott Hue,Aston Prince,Ripplebrook Snip
07-12-2022 14:00:31.983830,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:32.953984,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:33.986261,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:35.099418,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:36.238437,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:37.327392,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:38.316606,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:39.361077,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:40.441716,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:41.547960,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:42.689557,"(3.2, 5.0, 4.526470588235294)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:43.708216,"(3.2, 5.0, 4.665217391304347)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:44.729599,"(3.2, 5.0, 4.665217391304347)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.777777777777778)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:45.946654,"(3.2, 5.0, 4.665217391304347)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.2, 4.7555555555555555)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:47.262576,"(3.2, 5.0, 4.665217391304347)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.0, 4.7555555555555555)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:48.445322,"(3.2, 5.0, 4.665217391304347)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.0, 4.7555555555555555)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:49.638197,"(3.2, 5.0, 4.665217391304347)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.0, 4.722222222222221)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:50.824511,"(3.2, 5.0, 4.665217391304347)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.8, 4.722222222222221)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:51.899243,"(3.2, 5.0, 4.665217391304347)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 7.2, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:53.031015,"(3.2, 5.0, 4.08125)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:54.189955,"(3.2, 5.0, 4.08125)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:55.349141,"(3.2, 5.0, 4.540625)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:56.494227,"(3.2, 5.0, 4.540625)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:57.455354,"(3.2, 5.0, 4.540625)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:58.711643,"(3.2, 5.0, 4.540625)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:00:59.884681,"(3.2, 5.0, 4.540625)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:01.171739,"(3.2, 5.0, 4.540625)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 4.68)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:02.183567,"(3.2, 5.0, 4.588235294117647)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.066666666666666)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:03.208497,"(3.2, 5.0, 4.588235294117647)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.066666666666666)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:04.316491,"(3.2, 5.0, 4.588235294117647)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 6.0)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:05.482464,"(3.2, 5.0, 4.588235294117647)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.133333333333334)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:06.596868,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.622222222222222)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:07.641814,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.622222222222222)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:08.617537,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.622222222222222)","(12.0, 23.0, 20.375)"
07-12-2022 14:01:09.624674,"(3.2, 5.0, 4.726086956521739)","(3.9, 5.7, 4.5625)","(3.9, 5.5, 4.042857142857143)","(11.0, 23.0, 17.5)","(3.7, 6.6, 5.622222222222222)","(12.0, 23.0, 20.375)"
