,On Tilt,Salt Mine Teddy,Bahamian Beat,Cant Glide By Katz,Verrazano Legacy,War Doctor,Payster,No More,Golden Oak,Vaporized
07-12-2022 13:22:01.710193,"(31.0, 230.0, 70.0)","(14.0, 17.5, 17.1)","(15.0, 30.0, 21.6)","(4.4, 4.8, 4.307142857142857)","(21.0, 70.0, 38.666666666666664)","(5.0, 8.8, 8.581818181818182)","(3.3, 3.95, 3.725)","(5.0, 6.8, 6.275)","(15.0, 30.0, 24.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:03.034528,"(31.0, 230.0, 70.0)","(14.0, 17.5, 17.1)","(15.0, 30.0, 21.6)","(4.4, 4.8, 4.307142857142857)","(21.0, 70.0, 46.0)","(5.0, 8.8, 8.581818181818182)","(3.3, 3.95, 3.725)","(5.0, 6.8, 6.275)","(15.0, 30.0, 26.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:04.384744,"(31.0, 230.0, 70.0)","(14.0, 17.5, 17.1)","(15.0, 30.0, 21.6)","(4.4, 4.8, 4.307142857142857)","(21.0, 70.0, 46.0)","(5.0, 8.8, 8.581818181818182)","(3.3, 3.95, 3.6350000000000002)","(5.0, 6.8, 6.275)","(15.0, 30.0, 24.25)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:05.535400,"(31.0, 230.0, 70.0)","(14.0, 17.5, 17.1)","(15.0, 30.0, 21.6)","(4.4, 4.8, 4.307142857142857)","(21.0, 70.0, 46.0)","(5.0, 8.8, 8.581818181818182)","(3.3, 3.95, 3.725)","(5.0, 6.8, 6.275)","(15.0, 30.0, 24.25)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:06.820402,"(31.0, 230.0, 70.0)","(14.0, 17.5, 17.1)","(15.0, 30.0, 22.0)","(4.4, 4.8, 4.57)","(21.0, 70.0, 45.5)","(5.0, 8.8, 8.581818181818182)","(3.3, 3.95, 3.6607142857142856)","(5.0, 6.8, 6.275)","(15.0, 30.0, 26.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:08.102060,"(31.0, 230.0, 70.0)","(13.0, 17.5, 17.1)","(15.0, 30.0, 25.4)","(4.4, 4.8, 4.57)","(21.0, 70.0, 45.5)","(5.0, 8.8, 8.581818181818182)","(3.3, 3.95, 3.8125)","(5.0, 6.8, 6.36)","(15.0, 30.0, 26.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:09.394351,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.625)","(15.0, 29.0, 24.25)","(4.4, 4.8, 3.825)","(21.0, 70.0, 50.400000000000006)","(5.0, 8.8, 8.581818181818182)","(3.3, 4.0, 3.7800000000000002)","(5.0, 7.0, 6.36)","(15.0, 30.0, 26.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:10.632799,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.625)","(15.0, 29.0, 24.25)","(4.4, 4.8, 3.825)","(21.0, 70.0, 45.5)","(5.0, 8.8, 8.581818181818182)","(3.3, 4.0, 3.8636363636363638)","(5.0, 7.0, 6.36)","(15.0, 30.0, 26.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:11.864894,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 25.666666666666668)","(4.4, 4.8, 3.795238095238095)","(21.0, 70.0, 45.5)","(5.0, 8.8, 8.581818181818182)","(3.3, 4.0, 3.7800000000000002)","(5.0, 7.0, 6.36)","(15.0, 30.0, 26.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:13.091085,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 25.666666666666668)","(4.4, 4.7, 3.795238095238095)","(21.0, 70.0, 45.5)","(5.0, 8.8, 8.581818181818182)","(3.3, 4.0, 3.7800000000000002)","(5.0, 7.0, 6.36)","(15.0, 30.0, 26.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:14.313511,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 25.833333333333332)","(4.4, 4.7, 3.795238095238095)","(21.0, 70.0, 45.5)","(5.0, 8.8, 8.4)","(3.3, 4.0, 3.8636363636363638)","(5.0, 7.0, 6.36)","(15.0, 30.0, 26.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:15.537440,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 3.92)","(21.0, 70.0, 45.5)","(5.0, 8.8, 8.4)","(3.3, 4.0, 3.8636363636363638)","(5.0, 7.0, 6.36)","(15.0, 30.0, 26.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:16.730889,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 3.92)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.4)","(3.3, 4.0, 3.8636363636363638)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 26.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:17.988511,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 3.92)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.4)","(3.3, 4.0, 3.83125)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 24.0)","(15.0, 30.0, 22.8)"
07-12-2022 13:22:19.257026,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 3.92)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.175)","(3.3, 4.0, 3.83125)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 26.0)","(15.0, 30.0, 21.375)"
07-12-2022 13:22:20.691805,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 4.283333333333333)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.175)","(3.3, 4.0, 3.8125)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 26.0)","(15.0, 30.0, 24.25)"
07-12-2022 13:22:22.030690,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 4.283333333333333)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.175)","(3.3, 4.0, 3.8125)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 26.0)","(15.0, 30.0, 24.25)"
07-12-2022 13:22:23.297729,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 3.9666666666666663)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.175)","(3.3, 4.0, 3.8125)","(5.0, 7.0, 6.644444444444445)","(15.0, 30.0, 26.0)","(15.0, 30.0, 24.25)"
07-12-2022 13:22:24.683311,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 3.9666666666666663)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.175)","(3.3, 4.0, 3.8125)","(5.0, 7.0, 6.644444444444445)","(15.0, 30.0, 26.0)","(15.0, 30.0, 24.25)"
07-12-2022 13:22:26.132331,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 3.9666666666666663)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.175)","(3.3, 4.0, 3.7857142857142856)","(5.0, 7.0, 6.644444444444445)","(15.0, 30.0, 22.666666666666668)","(15.0, 30.0, 24.25)"
07-12-2022 13:22:27.637730,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 4.283333333333333)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.175)","(3.3, 4.0, 3.7857142857142856)","(5.0, 7.0, 6.783783783783784)","(15.0, 32.0, 22.666666666666668)","(15.0, 30.0, 24.25)"
07-12-2022 13:22:28.865598,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 4.283333333333333)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.175)","(3.3, 4.0, 3.7857142857142856)","(5.0, 7.0, 6.783783783783784)","(15.0, 32.0, 22.666666666666668)","(15.0, 30.0, 24.25)"
