,Obsession Agogo,Ratified,Halwes,Jaggers Lady,Stellar Rising,Louie,Enraged,Worry Less
07-12-2022 14:14:48.112377,"(6.0, 12.5, 9.933333333333334)","(8.0, 17.0, 11.700000000000001)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 5.2, 3.76)"
07-12-2022 14:14:49.579829,"(6.0, 12.0, 9.933333333333334)","(8.0, 17.5, 11.700000000000001)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 5.2, 3.672727272727273)"
07-12-2022 14:14:51.089654,"(6.0, 12.0, 9.933333333333334)","(8.0, 17.5, 11.700000000000001)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:14:52.538511,"(6.0, 12.0, 9.933333333333334)","(8.0, 17.5, 11.700000000000001)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:14:54.024418,"(6.0, 12.0, 9.933333333333334)","(8.0, 17.5, 11.700000000000001)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:14:55.503666,"(6.0, 12.0, 9.933333333333334)","(8.0, 17.5, 11.700000000000001)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:14:56.881012,"(6.0, 12.0, 9.933333333333334)","(8.0, 17.5, 14.600000000000001)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:14:58.179141,"(6.0, 12.0, 9.933333333333334)","(8.0, 17.5, 14.333333333333332)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:14:59.572702,"(6.0, 12.0, 9.933333333333334)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:01.029118,"(6.0, 12.0, 9.933333333333334)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:02.413855,"(6.0, 12.0, 10.983333333333334)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:03.738883,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:04.913879,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:06.156550,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:07.665275,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:08.891346,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:10.185117,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:11.613023,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:12.929342,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:14.165903,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:15.589857,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:17.047096,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:18.389578,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:19.656710,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:20.906395,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:22.188706,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:23.425487,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
07-12-2022 14:15:24.634958,"(6.0, 12.0, 10.0)","(8.0, 17.5, 11.833333333333334)","(6.0, 11.0, 8.814285714285715)","(5.0, 7.6, 6.266666666666667)","(16.0, 46.0, 24.53846153846154)","(3.9, 5.5, 4.154545454545454)","(14.0, 34.0, 24.5)","(3.6, 4.9, 3.672727272727273)"
