,Buddy Beauty,Velocity Tori,Look No Hands,Aussie Axle,Good Charlotte,Ladies Day,More Speed
08-01-2023 19:16:08.639814,"(41.0, 200.0, 78.57142857142857)","(31.0, 110.0, 76.92307692307692)","(7.0, 12.5, 10.3625)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.542105263157895)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:09.975288,"(41.0, 200.0, 78.57142857142857)","(31.0, 110.0, 76.92307692307692)","(7.0, 12.5, 10.3625)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.542105263157895)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:11.244253,"(41.0, 200.0, 78.57142857142857)","(31.0, 110.0, 76.92307692307692)","(7.0, 12.5, 10.3625)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 14.014285714285712)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:12.481587,"(41.0, 200.0, 78.57142857142857)","(31.0, 110.0, 76.92307692307692)","(7.0, 12.5, 10.666666666666668)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.05)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:14.210964,"(41.0, 200.0, 78.57142857142857)","(31.0, 110.0, 76.92307692307692)","(7.0, 12.5, 10.666666666666668)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.05)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:15.763048,"(41.0, 200.0, 78.57142857142857)","(31.0, 110.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.05)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:16.923531,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.05)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:18.177783,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.05)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:19.427000,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.05)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:20.593944,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.05)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:21.865333,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.05)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:23.150941,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 15.05)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:24.416690,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.565)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 14.128571428571428)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:25.635343,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.495)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 13.26)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:26.915274,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.4, 4.377777777777778)","(7.0, 16.5, 14.014285714285712)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:28.147482,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.565)","(4.0, 7.4, 4.4222222222222225)","(7.0, 16.5, 15.542105263157895)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:29.375606,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 13.733333333333334)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:30.591072,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.242857142857142)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:31.812599,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 13.66)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:33.042365,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.2)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:34.296556,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.565)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:35.593970,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.495)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
08-01-2023 19:16:37.149852,"(41.0, 200.0, 78.57142857142857)","(31.0, 44.0, 36.30769230769231)","(7.0, 12.5, 10.228571428571428)","(3.9, 6.0, 4.663636363636364)","(4.0, 7.8, 4.4222222222222225)","(7.0, 16.5, 14.266666666666666)","(2.25, 2.78, 2.312)"
