,In Jubalation,Thunderinreadyrick,Bright Dawn,Spectaculo,Spirit Of Windsor,Siente El Amor,Executive Prize,Remys Gunsmoke
08-01-2023 10:10:23.723876,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.149999999999999)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:24.677184,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.149999999999999)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:25.646319,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.149999999999999)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:26.600490,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.149999999999999)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:27.572870,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.149999999999999)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:28.534746,"(10.0, 15.5, 12.5)","(3.6, 27.0, 24.634999999999998)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:29.485674,"(10.0, 15.5, 12.5)","(3.6, 27.0, 24.634999999999998)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:30.410255,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.200000000000001)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:31.326660,"(10.0, 15.5, 12.5)","(3.6, 27.0, 15.200000000000001)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.1375)"
08-01-2023 10:10:32.273860,"(10.0, 15.5, 12.5)","(3.6, 25.0, 14.200000000000001)","(3.4, 4.7, 3.89)","(13.0, 30.0, 23.0)","(5.5, 8.6, 7.4799999999999995)","(18.0, 70.0, 50.833333333333336)","(15.0, 230.0, 157.83333333333334)","(4.8, 6.4, 6.088888888888889)"
