,Barnfield,Uncle Jeff,Coastal Waters,Light Cruiser,Kowboykabin,Joker Matt,Our Valley,Bodemonster,Danny Zuko,No Slo Mo
08-01-2023 08:57:45.766623,"(9.0, 11.5, 11.333333333333334)","(2.05, 2.48, 2.4768421052631577)","(18.0, 32.0, 29.6)","(10.0, 13.0, 12.631578947368421)","(21.0, 32.0, 28.875)","(10.0, 14.5, 14.261904761904763)","(20.0, 34.0, 30.333333333333332)","(26.0, 75.0, 70.5)","(51.0, 190.0, 176.66666666666669)","(3.8, 4.4, 4.375)"
08-01-2023 08:57:46.845199,"(9.0, 11.5, 11.333333333333334)","(2.05, 2.48, 2.4768421052631577)","(18.0, 32.0, 29.6)","(10.0, 13.0, 12.631578947368421)","(21.0, 32.0, 28.875)","(10.0, 14.5, 14.261904761904763)","(20.0, 34.0, 30.333333333333332)","(26.0, 75.0, 68.25)","(51.0, 190.0, 178.33333333333331)","(3.8, 4.4, 4.375)"
08-01-2023 08:57:47.900417,"(9.0, 11.5, 11.333333333333334)","(2.05, 2.48, 2.4741463414634146)","(18.0, 32.0, 29.6)","(10.0, 13.0, 12.631578947368421)","(21.0, 32.0, 28.622222222222224)","(10.0, 14.5, 14.261904761904763)","(18.0, 34.0, 30.333333333333332)","(26.0, 75.0, 67.05882352941177)","(51.0, 190.0, 178.33333333333331)","(3.8, 4.4, 4.37)"
08-01-2023 08:57:48.940959,"(9.0, 11.5, 11.071428571428571)","(2.05, 2.48, 2.4704)","(18.0, 32.0, 29.428571428571427)","(10.0, 13.0, 12.5625)","(21.0, 32.0, 28.46511627906977)","(10.0, 14.5, 14.261904761904763)","(18.0, 34.0, 30.333333333333332)","(26.0, 75.0, 67.05882352941177)","(51.0, 190.0, 178.33333333333331)","(3.8, 4.5, 4.4071428571428575)"
08-01-2023 08:57:49.972985,"(9.0, 11.5, 11.071428571428571)","(2.05, 2.46, 2.4552)","(18.0, 32.0, 29.714285714285715)","(10.0, 13.0, 12.631578947368421)","(21.0, 32.0, 28.622222222222224)","(10.0, 14.5, 14.261904761904763)","(18.0, 34.0, 30.333333333333332)","(26.0, 75.0, 67.5)","(51.0, 190.0, 178.33333333333331)","(3.8, 4.5, 4.4071428571428575)"
08-01-2023 08:57:51.068075,"(9.0, 11.5, 11.071428571428571)","(2.05, 2.44, 2.426829268292683)","(18.0, 32.0, 29.714285714285715)","(10.0, 13.0, 12.73076923076923)","(21.0, 32.0, 28.622222222222224)","(10.0, 14.5, 14.327586206896552)","(18.0, 34.0, 31.333333333333332)","(26.0, 75.0, 67.5)","(51.0, 190.0, 178.33333333333331)","(3.8, 4.5, 4.4071428571428575)"
08-01-2023 08:57:52.099106,"(9.0, 11.5, 11.071428571428571)","(2.05, 2.44, 2.4161702127659574)","(18.0, 32.0, 29.714285714285715)","(10.0, 13.0, 12.65)","(21.0, 32.0, 28.622222222222224)","(10.0, 14.5, 14.1875)","(18.0, 34.0, 31.333333333333332)","(26.0, 75.0, 68.6470588235294)","(51.0, 190.0, 178.33333333333331)","(3.8, 4.5, 4.4071428571428575)"
08-01-2023 08:57:53.128898,"(9.0, 11.5, 11.071428571428571)","(2.05, 2.44, 2.4161702127659574)","(18.0, 32.0, 29.714285714285715)","(10.0, 13.0, 12.65)","(21.0, 32.0, 28.622222222222224)","(10.0, 14.5, 14.1875)","(18.0, 34.0, 31.333333333333332)","(26.0, 75.0, 68.6470588235294)","(51.0, 190.0, 178.33333333333331)","(3.8, 4.5, 4.4071428571428575)"
08-01-2023 08:57:54.179853,"(9.0, 11.5, 11.125)","(2.05, 2.44, 2.4161702127659574)","(18.0, 32.0, 29.714285714285715)","(10.0, 13.0, 12.65)","(21.0, 32.0, 28.622222222222224)","(10.0, 15.0, 14.318181818181818)","(18.0, 34.0, 31.333333333333332)","(26.0, 75.0, 68.6470588235294)","(51.0, 190.0, 178.33333333333331)","(3.8, 4.5, 4.3652173913043475)"
08-01-2023 08:57:55.222915,"(9.0, 11.5, 11.125)","(2.05, 2.44, 2.4161702127659574)","(18.0, 32.0, 29.714285714285715)","(10.0, 13.0, 12.65)","(21.0, 32.0, 28.622222222222224)","(10.0, 15.0, 14.318181818181818)","(18.0, 34.0, 31.333333333333332)","(26.0, 75.0, 68.6470588235294)","(51.0, 190.0, 178.33333333333331)","(3.8, 4.5, 4.3652173913043475)"
