,Avvertimento,Blazing Sunrise,Dissonance,Lady Tabloid,Discreet Miss,Cider Bite,Spritely Emily,Talent Award
08-01-2023 13:17:05.173401,"(9.0, 12.5, 10.433333333333334)","(7.0, 14.0, 12.0)","(21.0, 65.0, 39.375)","(2.15, 2.42, 2.388)","(4.0, 6.2, 5.714285714285714)","(8.5, 12.5, 10.475000000000001)","(7.0, 12.0, 8.200000000000001)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:06.327239,"(9.0, 12.5, 10.566666666666666)","(7.0, 14.0, 12.0)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.388)","(4.0, 6.2, 5.714285714285714)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 7.75)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:07.438224,"(9.0, 12.5, 10.566666666666666)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.392)","(4.0, 6.2, 5.714285714285714)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.575)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:08.504325,"(9.0, 12.5, 11.257142857142856)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.392)","(4.0, 6.2, 5.714285714285714)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.575)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:09.546839,"(9.0, 18.5, 16.72)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.392)","(4.0, 6.2, 5.714285714285714)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.575)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:10.620652,"(9.0, 18.5, 14.685714285714287)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.392)","(4.0, 6.2, 5.714285714285714)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.575)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:11.794919,"(9.0, 18.5, 13.280000000000001)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.392)","(4.0, 6.2, 5.714285714285714)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.575)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:13.012269,"(9.0, 18.5, 13.280000000000001)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.392)","(4.0, 6.2, 5.714285714285714)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.575)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:14.217890,"(9.0, 18.5, 13.280000000000001)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.415483870967742)","(4.0, 6.2, 5.714285714285714)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:15.433067,"(9.0, 18.5, 14.576923076923077)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.415483870967742)","(4.0, 6.2, 5.571428571428571)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:16.602480,"(9.0, 18.0, 14.307692307692308)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.415483870967742)","(4.0, 6.0, 5.571428571428571)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:17.759175,"(9.0, 18.0, 14.307692307692308)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.415483870967742)","(4.0, 6.0, 5.571428571428571)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:18.902784,"(9.0, 18.0, 14.307692307692308)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.415483870967742)","(4.0, 6.0, 5.571428571428571)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
08-01-2023 13:17:20.021127,"(9.0, 18.0, 13.0)","(7.0, 14.0, 11.9)","(21.0, 70.0, 39.375)","(2.15, 2.42, 2.415483870967742)","(4.0, 6.0, 5.571428571428571)","(8.5, 12.5, 10.475000000000001)","(7.0, 9.4, 8.384615384615385)","(101.0, 220.0, 140.0)"
