,Choir Boy,Dixon Bay,Sarodec,Liability,Elected,Hokahey,Ready For Better,Wickedn Lovinit
08-01-2023 13:43:52.777005,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 76.0)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.2, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:43:53.991493,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 76.0)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.2, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:43:55.307842,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 112.57142857142857)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.2, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:43:56.468458,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.2, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:43:57.592696,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.2, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:43:58.769945,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.2, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:43:59.975588,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.2, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:44:01.202056,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.2, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:44:02.341336,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:44:03.436121,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:44:04.759934,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:44:06.103552,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:44:07.353414,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.1625)"
08-01-2023 13:44:08.567330,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:09.817379,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:11.096777,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:12.278562,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:13.427424,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:14.531355,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:15.649261,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:16.939533,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:18.186829,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:19.420930,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:20.510589,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:21.628579,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:22.789532,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
08-01-2023 13:44:24.013626,"(5.5, 8.6, 8.32)","(9.0, 15.0, 13.5375)","(41.0, 140.0, 77.33333333333333)","(5.0, 7.0, 6.781818181818182)","(6.5, 9.2, 8.033333333333333)","(3.3, 5.0, 4.228571428571429)","(4.6, 5.4, 5.330769230769231)","(8.5, 10.5, 10.2)"
