,Breakaway Mae,Stonewashed,Flashback Jack,Bunt And Run,Crab,More Crackers,Ballina,Precious Honey
08-01-2023 18:33:59.779888,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.5, 9.026666666666667)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.714285714285714)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:01.324560,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.5, 9.026666666666667)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.714285714285714)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:02.758093,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.5, 9.026666666666667)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.714285714285714)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:04.104430,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.5, 9.026666666666667)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.714285714285714)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:05.469470,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.5, 9.026666666666667)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.714285714285714)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:06.782992,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.5, 9.026666666666667)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.714285714285714)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:08.093167,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.5, 9.026666666666667)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.714285714285714)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:09.405391,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.5, 9.026666666666667)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.714285714285714)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:10.710849,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.5, 9.026666666666667)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:11.873911,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:13.181703,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
08-01-2023 18:34:14.529038,"(3.2, 5.3, 4.6)","(81.0, 610.0, 190.0)","(6.0, 11.0, 9.4)","(81.0, 610.0, 190.0)","(61.0, 440.0, 268.8888888888889)","(21.0, 70.0, 45.5)","(7.5, 16.0, 13.77142857142857)","(1.65, 2.38, 1.8373333333333333)"
