,Vella Fox,Lily Elsie,Desi Girl,Artieos,Better Than Anyone,Koha
08-01-2023 12:04:49.321149,"(1.75, 2.06, 1.8711320754716982)","(3.8, 5.6, 5.22)","(31.0, 210.0, 180.33333333333334)","(3.1, 5.1, 3.7363636363636363)","(31.0, 70.0, 47.2)","(31.0, 55.0, 36.42857142857143)"
08-01-2023 12:04:50.183551,"(1.75, 2.06, 1.8711320754716982)","(3.8, 5.6, 5.22)","(31.0, 210.0, 180.33333333333334)","(3.1, 5.1, 3.7363636363636363)","(31.0, 70.0, 47.2)","(31.0, 55.0, 36.42857142857143)"
08-01-2023 12:04:51.043887,"(1.75, 2.06, 1.8711320754716982)","(3.8, 5.6, 5.22)","(31.0, 210.0, 180.33333333333334)","(3.1, 5.1, 3.7363636363636363)","(31.0, 70.0, 47.2)","(31.0, 55.0, 36.42857142857143)"
08-01-2023 12:04:51.894558,"(1.75, 2.06, 1.8711320754716982)","(3.8, 5.6, 5.22)","(31.0, 210.0, 180.33333333333334)","(3.1, 5.1, 3.7363636363636363)","(31.0, 70.0, 47.2)","(31.0, 55.0, 36.42857142857143)"
08-01-2023 12:04:52.751268,"(1.75, 2.06, 1.8711320754716982)","(3.8, 5.6, 5.22)","(31.0, 210.0, 180.33333333333334)","(3.1, 5.1, 3.7363636363636363)","(31.0, 70.0, 47.2)","(31.0, 55.0, 36.42857142857143)"
08-01-2023 12:04:53.609408,"(1.75, 2.06, 1.8711320754716982)","(3.8, 5.6, 5.22)","(31.0, 210.0, 180.33333333333334)","(3.1, 5.1, 3.7363636363636363)","(31.0, 70.0, 47.2)","(31.0, 55.0, 36.42857142857143)"
08-01-2023 12:04:54.457031,"(1.75, 2.06, 1.8711320754716982)","(3.8, 5.6, 5.22)","(31.0, 210.0, 180.33333333333334)","(3.1, 5.1, 3.7363636363636363)","(31.0, 70.0, 47.2)","(31.0, 55.0, 36.42857142857143)"
08-01-2023 12:04:55.315405,"(1.75, 2.06, 1.8711320754716982)","(3.8, 5.6, 5.22)","(31.0, 210.0, 180.33333333333334)","(3.1, 5.1, 3.7363636363636363)","(31.0, 70.0, 47.2)","(31.0, 55.0, 36.42857142857143)"
08-01-2023 12:04:56.218556,"(1.75, 2.06, 1.8711320754716982)","(3.8, 5.6, 5.22)","(31.0, 210.0, 180.33333333333334)","(3.1, 5.1, 3.7363636363636363)","(31.0, 70.0, 47.2)","(31.0, 55.0, 36.42857142857143)"
08-01-2023 12:04:57.105610,"(1.75, 2.06, 1.8711320754716982)","(3.8, 5.6, 5.22)","(31.0, 210.0, 180.33333333333334)","(3.1, 5.1, 3.7363636363636363)","(31.0, 70.0, 47.2)","(31.0, 55.0, 36.42857142857143)"
