,Like Segal,Curlins Malibu,Jungle Beast,Santo,Brother Corbin,Trikitraki,Be Onboard
08-01-2023 11:08:17.158069,"(31.0, 230.0, 125.5)","(16.0, 24.0, 19.254545454545454)","(1.9, 2.38, 2.364)","(20.0, 230.0, 194.08333333333331)","(21.0, 230.0, 187.7)","(20.0, 190.0, 160.75)","(2.3, 6.8, 4.76875)"
08-01-2023 11:08:18.090068,"(31.0, 230.0, 125.5)","(16.0, 24.0, 19.254545454545454)","(1.9, 2.38, 2.364)","(20.0, 230.0, 194.08333333333331)","(21.0, 230.0, 187.7)","(20.0, 190.0, 160.75)","(2.3, 6.8, 4.76875)"
08-01-2023 11:08:19.080602,"(31.0, 230.0, 125.5)","(16.0, 24.0, 19.254545454545454)","(1.9, 2.38, 2.364)","(20.0, 230.0, 194.08333333333331)","(21.0, 230.0, 187.7)","(20.0, 190.0, 160.75)","(2.3, 6.8, 4.133333333333334)"
08-01-2023 11:08:20.018642,"(26.0, 230.0, 125.5)","(11.0, 24.0, 19.254545454545454)","(1.9, 2.38, 2.364)","(20.0, 230.0, 194.08333333333331)","(21.0, 230.0, 187.7)","(19.0, 190.0, 160.75)","(2.25, 6.8, 4.133333333333334)"
08-01-2023 11:08:21.020871,"(26.0, 230.0, 125.5)","(11.0, 24.0, 19.254545454545454)","(1.9, 2.42, 2.360483870967742)","(20.0, 230.0, 194.08333333333331)","(21.0, 230.0, 187.7)","(19.0, 190.0, 160.75)","(2.25, 6.8, 4.76875)"
08-01-2023 11:08:21.969214,"(26.0, 230.0, 125.5)","(11.0, 24.0, 19.254545454545454)","(1.9, 2.42, 2.360483870967742)","(20.0, 230.0, 194.08333333333331)","(21.0, 230.0, 187.7)","(19.0, 190.0, 160.75)","(2.25, 6.8, 4.76875)"
08-01-2023 11:08:22.922085,"(26.0, 230.0, 125.5)","(11.0, 24.0, 19.254545454545454)","(1.9, 2.4, 2.3771428571428572)","(20.0, 230.0, 194.08333333333331)","(21.0, 230.0, 187.7)","(19.0, 190.0, 160.75)","(2.25, 5.5, 4.55)"
08-01-2023 11:08:23.837565,"(26.0, 230.0, 125.5)","(11.0, 24.0, 17.475)","(1.9, 2.4, 2.3771428571428572)","(20.0, 230.0, 205.88888888888889)","(21.0, 230.0, 187.7)","(19.0, 190.0, 172.35)","(2.25, 5.9, 4.75)"
08-01-2023 11:08:24.763349,"(26.0, 230.0, 125.5)","(11.0, 24.0, 17.475)","(1.9, 2.4, 2.3771428571428572)","(20.0, 230.0, 205.88888888888889)","(21.0, 230.0, 187.7)","(19.0, 190.0, 172.35)","(2.25, 5.9, 4.725)"
08-01-2023 11:08:25.673062,"(26.0, 230.0, 125.5)","(11.0, 24.0, 17.475)","(1.9, 2.4, 2.3771428571428572)","(20.0, 230.0, 205.88888888888889)","(21.0, 230.0, 194.16666666666669)","(19.0, 190.0, 172.35)","(2.25, 6.4, 5.84)"
