,Henty,California Longbow,Champions League,Rura Penthe,Blazing Rebel,Concentric,Cable Dancer,Bishop Rock
08-01-2023 14:04:15.780016,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 13.58695652173913)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.290909090909091)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:16.865442,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 13.58695652173913)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.290909090909091)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:17.971291,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 13.58695652173913)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.290909090909091)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:19.028191,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 13.58695652173913)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.290909090909091)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:20.088789,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 13.58695652173913)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.290909090909091)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:21.157386,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 13.58695652173913)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.290909090909091)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:22.264536,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 13.58695652173913)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.425806451612903)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:23.314596,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.011627906976743)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.425806451612903)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:24.412113,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.425806451612903)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:25.456742,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.425806451612903)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:26.491369,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.425806451612903)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:27.628518,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.425806451612903)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
08-01-2023 14:04:28.762628,"(5.0, 6.4, 5.816666666666666)","(10.0, 14.5, 14.0125)","(2.1, 2.36, 2.2630303030303027)","(4.8, 6.8, 6.231578947368421)","(16.0, 44.0, 41.0)","(6.0, 10.5, 10.425806451612903)","(16.0, 38.0, 30.0)","(101.0, 190.0, 122.5)"
