,Running Cloud,Sword Of War,Bellman,Maatsuyker,Royal Fox,Wagon Wheel,Duhlata,Great Ambition,Supreme Thunder,One Out,Lottacheex,Buoyant
08-01-2023 15:58:10.419619,"(6.5, 9.6, 9.12)","(10.0, 99999, 99990)","(5.0, 7.0, 6.6571428571428575)","(6.5, 9.8, 9.683333333333334)","(13.0, 16.0, 14.5375)","(21.0, 27.0, 22.875)","(14.0, 18.5, 17.566666666666666)","(51.0, 95.0, 90.55555555555556)","(3.9, 4.6, 4.579166666666667)","(18.0, 32.0, 30.8)","(7.0, 9.8, 9.457142857142857)","(41.0, 95.0, 84.83333333333333)"
08-01-2023 15:58:11.915746,"(6.5, 9.6, 9.12)","(10.0, 99999, 99990)","(5.0, 7.0, 6.6571428571428575)","(6.5, 9.8, 9.683333333333334)","(13.0, 16.0, 14.5375)","(21.0, 24.0, 22.875)","(14.0, 18.5, 17.566666666666666)","(51.0, 95.0, 90.55555555555556)","(3.9, 4.6, 4.579166666666667)","(18.0, 32.0, 30.0)","(7.0, 9.8, 9.457142857142857)","(41.0, 95.0, 84.83333333333333)"
08-01-2023 15:58:13.392257,"(6.5, 9.6, 9.536842105263158)","(10.0, 99999, 99990)","(5.0, 7.0, 6.6571428571428575)","(6.5, 9.8, 9.683333333333334)","(13.0, 16.0, 14.5375)","(21.0, 24.0, 22.875)","(14.0, 18.5, 17.566666666666666)","(51.0, 95.0, 90.55555555555556)","(3.9, 4.6, 4.579166666666667)","(18.0, 32.0, 30.0)","(7.0, 9.8, 9.457142857142857)","(41.0, 95.0, 84.83333333333333)"
08-01-2023 15:58:14.841712,"(6.5, 9.6, 9.536842105263158)","(10.0, 99999, 99990)","(5.0, 7.0, 6.6571428571428575)","(6.5, 9.8, 9.683333333333334)","(13.0, 16.0, 14.5375)","(21.0, 24.0, 22.875)","(14.0, 18.5, 17.566666666666666)","(51.0, 95.0, 90.55555555555556)","(3.9, 4.6, 4.579166666666667)","(18.0, 32.0, 30.0)","(7.0, 9.8, 9.457142857142857)","(41.0, 95.0, 84.83333333333333)"
08-01-2023 15:58:16.348153,"(6.5, 9.6, 9.536842105263158)","(10.0, 99999, 99990)","(5.0, 7.0, 6.6571428571428575)","(6.5, 9.8, 9.683333333333334)","(13.0, 16.0, 14.5375)","(21.0, 24.0, 22.875)","(14.0, 18.5, 17.566666666666666)","(51.0, 95.0, 90.55555555555556)","(3.9, 4.6, 4.579166666666667)","(18.0, 32.0, 30.0)","(7.0, 9.8, 9.457142857142857)","(41.0, 95.0, 84.83333333333333)"
08-01-2023 15:58:17.755865,"(6.5, 9.4, 9.155555555555555)","(10.0, 99999, 99990)","(5.0, 7.0, 6.6571428571428575)","(6.5, 9.8, 9.683333333333334)","(13.0, 16.0, 14.5375)","(21.0, 24.0, 22.875)","(14.0, 18.5, 17.566666666666666)","(51.0, 95.0, 90.55555555555556)","(3.9, 4.6, 4.579166666666667)","(18.0, 32.0, 30.0)","(7.0, 9.8, 9.457142857142857)","(41.0, 95.0, 84.83333333333333)"
08-01-2023 15:58:19.303416,"(6.5, 9.4, 9.155555555555555)","(10.0, 99999, 99990)","(5.0, 7.0, 6.6571428571428575)","(6.5, 9.8, 9.683333333333334)","(13.0, 16.0, 14.5375)","(21.0, 24.0, 22.875)","(14.0, 18.5, 17.566666666666666)","(51.0, 95.0, 90.55555555555556)","(3.9, 4.6, 4.579166666666667)","(18.0, 32.0, 30.0)","(7.0, 9.8, 9.457142857142857)","(41.0, 95.0, 84.83333333333333)"
08-01-2023 15:58:20.699562,"(6.5, 9.4, 9.155555555555555)","(10.0, 99999, 99990)","(5.0, 7.0, 6.6571428571428575)","(6.5, 9.8, 9.683333333333334)","(13.0, 16.0, 14.5375)","(21.0, 24.0, 22.875)","(14.0, 18.5, 17.566666666666666)","(51.0, 95.0, 90.55555555555556)","(3.9, 4.6, 4.579166666666667)","(18.0, 32.0, 31.11111111111111)","(7.0, 9.8, 9.457142857142857)","(41.0, 95.0, 84.83333333333333)"
08-01-2023 15:58:22.241070,"(6.5, 9.4, 9.155555555555555)","(10.0, 99999, 99990)","(5.0, 7.0, 6.6571428571428575)","(6.5, 9.8, 9.683333333333334)","(13.0, 16.0, 14.5375)","(21.0, 24.0, 22.875)","(14.0, 18.5, 17.566666666666666)","(51.0, 95.0, 90.55555555555556)","(3.9, 4.6, 4.579166666666667)","(18.0, 32.0, 31.11111111111111)","(7.0, 9.8, 9.457142857142857)","(41.0, 95.0, 84.83333333333333)"
08-01-2023 15:58:23.708821,"(6.5, 9.4, 9.155555555555555)","(10.0, 99999, 99990)","(5.0, 7.0, 6.6571428571428575)","(6.5, 9.8, 9.683333333333334)","(13.0, 16.0, 14.5375)","(21.0, 24.0, 22.875)","(14.0, 18.5, 17.566666666666666)","(51.0, 95.0, 90.55555555555556)","(3.9, 4.6, 4.579166666666667)","(18.0, 32.0, 31.11111111111111)","(7.0, 9.8, 9.457142857142857)","(41.0, 95.0, 84.83333333333333)"
