,Fayetteville,Studley,Bold Contender,Kiwi Turtle,Lights Strike
08-01-2023 19:26:10.261439,"(3.0, 6.6, 5.189743589743589)","(1.9, 1.98, 1.9594736842105263)","(3.6, 5.0, 4.882758620689655)","(26.0, 95.0, 50.625)","(14.0, 32.0, 22.75)"
08-01-2023 19:26:11.251803,"(3.0, 6.6, 5.246153846153846)","(1.9, 1.97, 1.9594736842105263)","(3.6, 5.0, 4.882758620689655)","(26.0, 95.0, 50.625)","(14.0, 32.0, 18.0)"
08-01-2023 19:26:12.595606,"(3.0, 6.6, 4.855172413793103)","(1.9, 1.97, 1.9594736842105263)","(3.6, 5.0, 4.882758620689655)","(26.0, 95.0, 50.625)","(14.0, 32.0, 18.0)"
08-01-2023 19:26:13.753294,"(3.0, 6.6, 4.855172413793103)","(1.9, 1.97, 1.9594736842105263)","(3.6, 5.0, 4.882758620689655)","(26.0, 95.0, 50.625)","(14.0, 32.0, 18.0)"
08-01-2023 19:26:15.184658,"(3.0, 6.6, 4.855172413793103)","(1.9, 1.97, 1.9594736842105263)","(3.6, 5.0, 4.882758620689655)","(26.0, 95.0, 50.625)","(14.0, 32.0, 18.0)"
08-01-2023 19:26:16.207878,"(3.0, 6.6, 4.855172413793103)","(1.9, 1.97, 1.9594736842105263)","(3.6, 5.0, 4.882758620689655)","(26.0, 95.0, 50.625)","(14.0, 32.0, 18.0)"
08-01-2023 19:26:17.393485,"(3.0, 6.6, 4.855172413793103)","(1.9, 1.97, 1.9594736842105263)","(3.6, 5.0, 4.882758620689655)","(26.0, 95.0, 50.625)","(14.0, 32.0, 18.0)"
08-01-2023 19:26:18.503710,"(3.0, 6.6, 4.855172413793103)","(1.9, 1.97, 1.9594736842105263)","(3.6, 5.0, 4.882758620689655)","(26.0, 95.0, 50.625)","(14.0, 32.0, 18.0)"
08-01-2023 19:26:19.544468,"(3.0, 6.6, 4.855172413793103)","(1.9, 1.97, 1.9594736842105263)","(3.6, 5.0, 4.882758620689655)","(26.0, 95.0, 50.625)","(14.0, 32.0, 18.0)"
08-01-2023 19:26:20.567672,"(3.0, 6.6, 4.855172413793103)","(1.9, 1.97, 1.9594736842105263)","(3.6, 5.0, 4.882758620689655)","(26.0, 95.0, 50.625)","(14.0, 32.0, 18.0)"
