,Avery Blue,Mischievous Curlin,Rose Dawson,Luxury Liner,The Great Haynes,Sheza Girly Girl,Shezarunaway,Angels Advocate
08-01-2023 09:50:16.495543,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.0, 99999, 99990)","(4.2, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:17.655403,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.0, 99999, 99990)","(4.2, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:18.823734,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.0, 99999, 99990)","(4.2, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:20.019279,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.0, 99999, 99990)","(4.2, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:21.181712,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.0, 99999, 99990)","(4.2, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:22.414994,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.0, 99999, 99990)","(4.2, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:23.601548,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.0, 99999, 99990)","(4.2, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:24.809648,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.0, 99999, 99990)","(4.2, 99999, 99990)","(7.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:25.976006,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:27.241445,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:28.431707,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:29.632644,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:30.835689,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:31.981307,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:33.191200,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:34.351484,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:35.566396,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:36.717169,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:37.876630,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:39.048216,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:40.251261,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:41.431203,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:42.584166,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:43.775352,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:44.925102,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:46.110904,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:47.261006,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:48.427215,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.9, 99999, 99990)"
08-01-2023 09:50:49.592684,"(12.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:50:50.751055,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:50:52.012481,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:50:53.181193,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:50:54.341118,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:50:55.503310,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:50:56.690717,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:50:57.890802,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:50:59.041096,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:00.255453,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:01.400869,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:02.550682,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:03.710538,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:04.922951,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:06.090622,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:07.240758,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.2, 99999, 99990)","(7.0, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:08.400692,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:09.570599,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:10.730427,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:11.893321,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:13.060519,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:14.220593,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:15.374413,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:16.520548,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:17.690535,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:18.860496,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:20.012623,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:21.212414,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:22.372399,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:23.541357,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:24.716381,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:25.871188,"(14.0, 99999, 99990)","(31.0, 99999, 99990)","(5.5, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(21.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:27.041081,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:28.211098,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:29.367258,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:30.533624,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:31.681336,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:32.849881,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:33.991069,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:35.144153,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:36.281019,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:37.431278,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:38.593080,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:39.761101,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:40.910794,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:42.090833,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:43.250800,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:44.395143,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:45.550820,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:46.701007,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:47.870885,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:49.045363,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:50.210589,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:51.388279,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:52.530804,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
08-01-2023 09:51:53.700532,"(15.0, 99999, 99990)","(41.0, 99999, 99990)","(6.0, 99999, 99990)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(5.5, 99999, 99990)","(26.0, 99999, 99990)","(2.6, 99999, 99990)"
