,Titan Of Choice,Lidder Valley,Im Divine,Journey To Petra,Panama Papers,Champinsky,Fortune Follows
08-01-2023 15:09:48.499418,"(3.7, 3.9, 3.8211267605633803)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:09:49.531501,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:09:50.623979,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:09:51.693636,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:09:52.742868,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:09:53.671216,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:09:54.638083,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:09:55.703460,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:09:56.766280,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:09:57.727576,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:09:58.808985,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:10:00.020777,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:10:01.135236,"(3.7, 3.9, 3.886829268292683)","(3.1, 4.1, 3.9875)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
08-01-2023 15:10:02.128628,"(3.7, 3.9, 3.8893229166666665)","(3.1, 4.1, 4.0)","(2.6, 3.1, 2.9495999999999998)","(6.5, 13.0, 10.7)","(51.0, 170.0, 154.28571428571428)","(21.0, 85.0, 76.85714285714286)","(10.0, 20.0, 16.333333333333332)"
