,What A Nose,Dairy Girl,Memories Keep,Noaki Cruise,Noaki Nipper,Stylish Rico,Lock It In,Gypsy Rico
08-01-2023 19:26:15.619446,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:17.025146,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:18.417679,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:19.690081,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:20.944205,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:22.311060,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:23.452089,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:24.863290,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:26.155034,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:27.255032,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:28.534795,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:29.936382,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:31.184790,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:32.418077,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:33.656763,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:35.059945,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:36.377243,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:37.705286,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:38.970591,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 254.66666666666669)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 20.5)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:40.234748,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:41.487600,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:42.818960,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:44.059578,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:45.260880,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:46.447899,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:47.762493,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:49.158869,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:50.555764,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:51.869731,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:53.282533,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:54.562484,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
08-01-2023 19:26:55.863539,"(71.0, 580.0, 494.16666666666663)","(81.0, 460.0, 246.11111111111111)","(2.5, 3.85, 2.5422727272727275)","(3.7, 7.0, 4.804054054054054)","(11.0, 23.0, 22.0)","(10.0, 20.0, 18.94)","(5.5, 11.5, 5.954545454545455)","(4.0, 8.2, 5.866666666666666)"
