,Keep Me Vivid,Mollys Fantasy,Violets Delight,All Eagle,Ishmy Belle,Little Zambora,Call Her Olivia,Big Kell
08-01-2023 16:22:18.965515,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 178.66666666666666)","(14.0, 40.0, 29.615384615384617)","(14.0, 40.0, 29.615384615384617)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:20.167336,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 178.66666666666666)","(14.0, 40.0, 29.615384615384617)","(14.0, 40.0, 29.615384615384617)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:21.445330,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 178.66666666666666)","(14.0, 40.0, 29.615384615384617)","(14.0, 40.0, 29.615384615384617)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:22.725213,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 178.66666666666666)","(14.0, 40.0, 29.615384615384617)","(14.0, 40.0, 29.615384615384617)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:24.034541,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 178.66666666666666)","(14.0, 40.0, 29.615384615384617)","(14.0, 40.0, 29.615384615384617)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:25.142047,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 178.66666666666666)","(14.0, 40.0, 29.615384615384617)","(14.0, 40.0, 29.615384615384617)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:26.151035,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 178.66666666666666)","(14.0, 40.0, 29.615384615384617)","(14.0, 40.0, 29.615384615384617)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:27.273904,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 200.0)","(14.0, 40.0, 30.535714285714285)","(14.0, 40.0, 30.535714285714285)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:28.400590,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 200.0)","(14.0, 40.0, 30.535714285714285)","(14.0, 40.0, 30.535714285714285)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:29.438254,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 200.0)","(14.0, 40.0, 30.535714285714285)","(14.0, 40.0, 30.535714285714285)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:30.680162,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 200.0)","(14.0, 40.0, 30.535714285714285)","(14.0, 40.0, 30.535714285714285)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:31.985492,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 200.0)","(14.0, 40.0, 30.535714285714285)","(14.0, 40.0, 30.535714285714285)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:33.160095,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 200.0)","(14.0, 40.0, 30.535714285714285)","(14.0, 40.0, 30.535714285714285)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:34.269829,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 200.0)","(14.0, 40.0, 30.535714285714285)","(14.0, 40.0, 30.535714285714285)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:35.473578,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 200.0)","(14.0, 40.0, 30.535714285714285)","(14.0, 40.0, 30.535714285714285)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:36.671595,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 200.0)","(14.0, 40.0, 30.535714285714285)","(14.0, 40.0, 30.535714285714285)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:37.786550,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 89.77777777777777)","(14.0, 40.0, 30.178571428571427)","(14.0, 40.0, 33.650000000000006)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:38.912101,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 89.77777777777777)","(14.0, 36.0, 33.650000000000006)","(14.0, 36.0, 33.650000000000006)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:40.095292,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 89.77777777777777)","(14.0, 36.0, 33.650000000000006)","(14.0, 36.0, 33.650000000000006)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:41.312510,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 89.77777777777777)","(14.0, 36.0, 33.650000000000006)","(14.0, 36.0, 33.650000000000006)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
08-01-2023 16:22:42.505002,"(2.0, 3.15, 2.8033333333333332)","(101.0, 730.0, 620.8333333333334)","(3.6, 5.9, 3.8)","(51.0, 440.0, 89.77777777777777)","(14.0, 36.0, 33.650000000000006)","(14.0, 36.0, 33.650000000000006)","(101.0, 620.0, 340.0)","(2.8, 5.3, 2.9768)"
