,Mr Bean,Jayville Crew,Pretty Reef,No More Issues,Call Me John,Winged Dominance,Fernbank Flyer
08-01-2023 17:06:52.129842,"(7.0, 15.0, 7.824999999999999)","(26.0, 110.0, 76.53846153846155)","(4.2, 7.2, 5.875581395348837)","(2.0, 3.0, 2.017777777777778)","(5.0, 9.6, 6.15)","(10.0, 23.0, 22.0)","(10.0, 23.0, 22.0)"
08-01-2023 17:06:53.310408,"(7.0, 15.0, 7.824999999999999)","(26.0, 110.0, 76.53846153846155)","(4.2, 7.2, 5.875581395348837)","(2.0, 3.0, 2.017777777777778)","(5.0, 9.6, 5.8)","(10.0, 23.0, 22.0)","(10.0, 23.0, 22.0)"
08-01-2023 17:06:54.466674,"(7.0, 15.0, 7.545454545454545)","(26.0, 110.0, 76.53846153846155)","(4.2, 7.2, 5.875581395348837)","(2.0, 3.0, 2.017777777777778)","(5.0, 9.0, 5.8)","(10.0, 23.0, 22.0)","(10.0, 23.0, 22.0)"
08-01-2023 17:06:55.679139,"(7.0, 15.0, 7.545454545454545)","(26.0, 110.0, 76.53846153846155)","(4.2, 7.2, 5.875581395348837)","(2.0, 3.0, 2.017777777777778)","(5.0, 9.0, 8.7375)","(10.0, 23.0, 22.0)","(10.0, 23.0, 22.0)"
08-01-2023 17:06:56.842511,"(7.0, 15.0, 7.545454545454545)","(26.0, 110.0, 76.53846153846155)","(4.2, 7.2, 5.875581395348837)","(2.0, 3.0, 2.017777777777778)","(5.0, 9.6, 8.7375)","(10.0, 23.0, 22.0)","(10.0, 23.0, 22.0)"
08-01-2023 17:06:57.909835,"(7.0, 15.0, 7.545454545454545)","(26.0, 110.0, 76.53846153846155)","(4.2, 7.2, 5.875581395348837)","(2.0, 3.0, 2.017777777777778)","(5.0, 9.6, 8.7375)","(10.0, 23.0, 22.0)","(10.0, 23.0, 22.0)"
08-01-2023 17:06:58.999761,"(7.0, 15.0, 7.545454545454545)","(26.0, 110.0, 76.53846153846155)","(4.2, 7.2, 5.875581395348837)","(2.0, 3.0, 2.017777777777778)","(5.0, 9.6, 8.7375)","(10.0, 23.0, 22.0)","(10.0, 23.0, 22.0)"
08-01-2023 17:07:00.139797,"(7.0, 15.0, 7.545454545454545)","(26.0, 110.0, 76.53846153846155)","(4.2, 7.2, 5.875581395348837)","(2.0, 3.0, 2.017777777777778)","(5.0, 9.6, 8.7375)","(10.0, 23.0, 22.0)","(10.0, 23.0, 22.0)"
08-01-2023 17:07:01.215760,"(7.0, 15.0, 7.545454545454545)","(26.0, 110.0, 76.53846153846155)","(4.2, 7.2, 5.875581395348837)","(2.0, 3.0, 2.017777777777778)","(5.0, 9.6, 8.7375)","(10.0, 23.0, 22.0)","(10.0, 23.0, 22.0)"
08-01-2023 17:07:02.195489,"(7.0, 15.0, 7.545454545454545)","(26.0, 110.0, 76.53846153846155)","(4.2, 7.2, 5.875581395348837)","(2.0, 3.0, 2.017777777777778)","(5.0, 9.6, 8.7375)","(10.0, 23.0, 22.0)","(10.0, 23.0, 22.0)"
