,Context,Play Fling,Wreck It Rio,Canya Bellatrix,Been Framed,Couch King,Esmay Nelly,Magic Spry
08-01-2023 17:55:53.922501,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:55:55.311796,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:55:56.679839,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:55:57.875510,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:55:59.015716,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:00.286189,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:01.551322,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:02.710566,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:04.098470,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:05.325462,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:06.514299,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:07.722857,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:08.889775,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:10.070925,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:11.231994,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:12.443045,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:13.564982,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:14.640232,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:15.719633,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
08-01-2023 17:56:17.111549,"(5.0, 7.6, 6.8352941176470585)","(8.0, 16.5, 14.071428571428571)","(6.5, 14.0, 9.2)","(10.0, 25.0, 17.5)","(3.8, 5.2, 4.178448275862069)","(31.0, 190.0, 109.0)","(2.6, 3.4, 2.7653333333333334)","(21.0, 90.0, 48.125)"
