,Adara,Bashdaflash,Faneuil Hall,A Thousand Idols,Per Diem,Shannonrun,Taraashoq,Shakin It Big Time
08-01-2023 11:07:35.215498,"(5.5, 8.0, 7.964705882352941)","(21.0, 40.0, 39.111111111111114)","(17.0, 21.0, 19.928571428571427)","(41.0, 100.0, 96.0)","(1.85, 2.12, 2.083013698630137)","(6.0, 7.2, 7.1300970873786405)","(4.6, 6.4, 6.138461538461539)","(51.0, 130.0, 126.76470588235294)"
08-01-2023 11:07:36.185598,"(5.5, 8.0, 7.963636363636364)","(21.0, 40.0, 39.05882352941177)","(17.0, 21.0, 19.5)","(41.0, 100.0, 96.0)","(1.85, 2.12, 2.094193548387097)","(6.0, 7.2, 7.1300970873786405)","(4.6, 6.4, 6.138461538461539)","(51.0, 130.0, 126.76470588235294)"
08-01-2023 11:07:37.210215,"(5.5, 8.0, 7.963636363636364)","(21.0, 40.0, 39.05882352941177)","(17.0, 20.0, 19.714285714285715)","(41.0, 100.0, 96.0)","(1.85, 2.12, 2.0958273381294963)","(6.0, 7.2, 7.1300970873786405)","(4.6, 6.4, 6.083720930232558)","(51.0, 130.0, 126.76470588235294)"
08-01-2023 11:07:38.192941,"(5.5, 8.0, 7.963636363636364)","(21.0, 40.0, 39.05882352941177)","(17.0, 20.0, 19.714285714285715)","(41.0, 100.0, 96.0)","(1.85, 2.12, 2.0920261437908496)","(6.0, 7.2, 7.121818181818182)","(4.6, 6.4, 6.122448979591836)","(51.0, 130.0, 128.10344827586206)"
08-01-2023 11:07:39.188250,"(5.5, 8.0, 7.963636363636364)","(21.0, 40.0, 39.05882352941177)","(17.0, 20.0, 19.714285714285715)","(41.0, 100.0, 92.72727272727272)","(1.85, 2.12, 2.0864000000000003)","(6.0, 7.2, 7.121818181818182)","(4.6, 6.4, 6.143396226415095)","(51.0, 130.0, 130.0)"
08-01-2023 11:07:40.142849,"(5.5, 8.0, 7.96)","(21.0, 40.0, 39.111111111111114)","(17.0, 20.0, 19.25)","(41.0, 100.0, 92.72727272727272)","(1.85, 2.12, 2.0883018867924528)","(6.0, 7.2, 7.126415094339623)","(4.6, 6.4, 6.143396226415095)","(51.0, 150.0, 130.0)"
08-01-2023 11:07:41.118827,"(5.5, 8.0, 7.96)","(21.0, 40.0, 39.111111111111114)","(17.0, 21.0, 18.857142857142858)","(41.0, 100.0, 92.72727272727272)","(1.85, 2.12, 2.0929032258064515)","(6.0, 7.2, 7.126415094339623)","(4.6, 6.4, 6.128)","(51.0, 150.0, 106.66666666666667)"
08-01-2023 11:07:42.097145,"(5.5, 8.0, 7.96)","(21.0, 40.0, 39.25)","(17.0, 20.0, 19.083333333333332)","(41.0, 100.0, 92.72727272727272)","(1.85, 2.12, 2.0908843537414965)","(6.0, 7.4, 7.276923076923077)","(4.6, 6.2, 6.0600000000000005)","(51.0, 150.0, 117.5)"
08-01-2023 11:07:43.059218,"(5.5, 8.0, 7.96)","(21.0, 40.0, 39.25)","(17.0, 20.0, 18.625)","(41.0, 100.0, 92.72727272727272)","(1.85, 2.12, 2.0908843537414965)","(6.0, 7.4, 7.333333333333334)","(4.6, 6.2, 6.0600000000000005)","(51.0, 150.0, 117.5)"
08-01-2023 11:07:44.055344,"(5.5, 8.0, 7.96)","(21.0, 42.0, 40.857142857142854)","(17.0, 19.5, 19.0)","(41.0, 100.0, 92.72727272727272)","(1.85, 2.12, 2.0908843537414965)","(6.0, 7.4, 7.344827586206897)","(4.6, 6.2, 6.0600000000000005)","(51.0, 150.0, 117.5)"
08-01-2023 11:07:45.048134,"(5.5, 8.0, 7.96)","(21.0, 42.0, 40.857142857142854)","(17.0, 19.5, 19.0)","(41.0, 100.0, 92.72727272727272)","(1.85, 2.12, 2.0908843537414965)","(6.0, 7.4, 7.344827586206897)","(4.6, 6.2, 6.05)","(51.0, 150.0, 117.5)"
08-01-2023 11:07:46.016668,"(5.5, 8.0, 7.96)","(21.0, 42.0, 40.857142857142854)","(17.0, 19.5, 19.0)","(41.0, 100.0, 94.28571428571428)","(1.85, 2.12, 2.0882962962962965)","(6.0, 7.4, 7.344827586206897)","(4.6, 6.2, 6.05)","(51.0, 150.0, 117.5)"
08-01-2023 11:07:46.991093,"(5.5, 8.0, 7.96)","(21.0, 42.0, 40.857142857142854)","(17.0, 19.5, 19.0)","(41.0, 100.0, 94.28571428571428)","(1.85, 2.12, 2.092564102564103)","(6.0, 7.4, 7.344827586206897)","(4.6, 6.2, 6.05)","(51.0, 150.0, 124.0)"
08-01-2023 11:07:47.967485,"(5.5, 8.0, 7.96)","(21.0, 42.0, 40.857142857142854)","(17.0, 19.5, 19.0)","(41.0, 100.0, 94.28571428571428)","(1.85, 2.12, 2.0986000000000002)","(6.0, 7.4, 7.344827586206897)","(4.6, 6.2, 6.05)","(51.0, 150.0, 124.0)"
08-01-2023 11:07:48.916776,"(5.5, 8.0, 7.96)","(21.0, 42.0, 40.857142857142854)","(17.0, 19.5, 19.0)","(41.0, 100.0, 90.0)","(1.85, 2.12, 2.0986000000000002)","(6.0, 7.4, 7.344827586206897)","(4.6, 6.2, 6.05)","(51.0, 150.0, 124.0)"
08-01-2023 11:07:49.882935,"(5.5, 8.0, 7.96)","(21.0, 42.0, 41.0)","(17.0, 19.5, 19.0)","(41.0, 100.0, 95.0)","(1.85, 2.1, 2.0948484848484847)","(6.0, 7.4, 7.283870967741936)","(4.6, 6.2, 6.05)","(51.0, 150.0, 137.0)"
08-01-2023 11:07:50.837425,"(5.5, 8.0, 7.96)","(21.0, 42.0, 41.0)","(17.0, 19.5, 19.0)","(41.0, 100.0, 95.0)","(1.85, 2.1, 2.0929166666666665)","(6.0, 7.4, 7.283870967741936)","(4.6, 6.2, 6.05)","(51.0, 150.0, 137.0)"
08-01-2023 11:07:51.817555,"(5.5, 8.0, 7.96)","(21.0, 42.0, 41.0)","(17.0, 19.5, 19.0)","(41.0, 100.0, 95.0)","(1.85, 2.1, 2.0929166666666665)","(6.0, 7.4, 7.283870967741936)","(4.6, 6.2, 6.05)","(51.0, 150.0, 131.42857142857144)"
08-01-2023 11:07:52.802732,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 19.5, 19.0)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0941379310344828)","(6.0, 7.4, 7.29047619047619)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 132.85714285714286)"
08-01-2023 11:07:53.790578,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 19.5, 19.0)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0941379310344828)","(6.0, 7.4, 7.29047619047619)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 132.85714285714286)"
08-01-2023 11:07:54.741084,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 19.5, 19.0)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0941379310344828)","(6.0, 7.4, 7.29047619047619)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 113.33333333333333)"
08-01-2023 11:07:55.690634,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 19.5, 19.0)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0941379310344828)","(6.0, 7.4, 7.29047619047619)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 113.33333333333333)"
08-01-2023 11:07:56.662869,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 19.5, 19.0)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0941379310344828)","(6.0, 7.4, 7.29047619047619)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 113.33333333333333)"
08-01-2023 11:07:57.655791,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 19.75)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0941379310344828)","(6.0, 7.4, 7.29047619047619)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 113.33333333333333)"
08-01-2023 11:07:58.621298,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 19.75)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.095)","(6.0, 7.4, 7.29047619047619)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 113.33333333333333)"
08-01-2023 11:07:59.607526,"(5.5, 8.0, 7.8769230769230765)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 19.75)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.095)","(6.0, 7.4, 7.279166666666667)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 113.33333333333333)"
08-01-2023 11:08:00.606785,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 19.75)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.095)","(6.0, 7.6, 7.385365853658537)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 113.33333333333333)"
08-01-2023 11:08:01.585647,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 19.75)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.096964285714286)","(6.0, 7.6, 7.385365853658537)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 113.33333333333333)"
08-01-2023 11:08:02.601511,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 19.75)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.096964285714286)","(6.0, 7.6, 7.385365853658537)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 127.5)"
08-01-2023 11:08:03.583211,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 19.75)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0967307692307693)","(6.0, 7.6, 7.385365853658537)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 127.5)"
08-01-2023 11:08:04.620369,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 19.75)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0967307692307693)","(6.0, 7.6, 7.385365853658537)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 127.5)"
08-01-2023 11:08:05.588559,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 19.75)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0967307692307693)","(6.0, 7.6, 7.385365853658537)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 127.5)"
08-01-2023 11:08:06.542255,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 20.0)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0967307692307693)","(6.0, 7.6, 7.385365853658537)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 127.5)"
08-01-2023 11:08:07.527606,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 20.0)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0967307692307693)","(6.0, 7.6, 7.385365853658537)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 127.5)"
08-01-2023 11:08:08.488082,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 20.0)","(41.0, 100.0, 95.29411764705883)","(1.85, 2.1, 2.0967307692307693)","(6.0, 7.6, 7.385365853658537)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 127.5)"
08-01-2023 11:08:09.459445,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 20.0)","(41.0, 100.0, 96.0)","(1.85, 2.1, 2.0967307692307693)","(6.0, 7.6, 7.297560975609756)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 138.0)"
08-01-2023 11:08:10.446791,"(5.5, 8.0, 7.8933333333333335)","(21.0, 42.0, 41.111111111111114)","(17.0, 21.0, 20.0)","(41.0, 100.0, 96.0)","(1.85, 2.1, 2.0967307692307693)","(6.0, 7.6, 7.297560975609756)","(4.6, 6.2, 6.1066666666666665)","(51.0, 150.0, 126.42857142857143)"
08-01-2023 11:08:11.411515,"(5.5, 8.0, 7.885714285714285)","(21.0, 42.0, 40.857142857142854)","(17.0, 21.0, 19.75)","(41.0, 100.0, 95.78947368421052)","(1.85, 2.1, 2.0967307692307693)","(6.0, 7.6, 7.282051282051282)","(4.6, 6.2, 6.1)","(51.0, 150.0, 126.42857142857143)"
