,Contract,Out Of Cash,Hope Sure Can,Murphys Mate,Traviss Lauryn,Lightning Zeal,First Black Jack,Nando Flyer
08-01-2023 18:44:08.468739,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 73.18181818181819)","(5.0, 9.8, 9.266666666666667)","(41.0, 250.0, 112.42857142857143)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.68875)","(6.5, 11.5, 8.4375)"
08-01-2023 18:44:09.639514,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 73.18181818181819)","(5.0, 9.8, 9.266666666666667)","(41.0, 250.0, 112.42857142857143)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.68875)","(6.5, 11.5, 9.458333333333334)"
08-01-2023 18:44:10.874942,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 73.18181818181819)","(5.0, 9.8, 8.84)","(41.0, 250.0, 112.42857142857143)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.6613333333333333)","(6.5, 11.5, 8.5625)"
08-01-2023 18:44:12.112388,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 73.18181818181819)","(5.0, 9.8, 8.88)","(41.0, 250.0, 112.42857142857143)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:13.345663,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 73.18181818181819)","(5.0, 9.8, 9.33)","(41.0, 250.0, 112.42857142857143)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:14.587179,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 73.18181818181819)","(5.0, 9.8, 8.233333333333334)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:15.662303,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.33)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:16.749054,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:17.858629,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:18.977416,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:20.081231,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:21.177904,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 520.0, 425.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:22.327213,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 510.0, 401.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:23.499200,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 401.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:24.664584,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 401.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:25.794937,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 401.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:26.905401,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 401.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:28.019312,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 401.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:29.147031,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 401.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:30.334757,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 401.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 9.866666666666667)"
08-01-2023 18:44:31.571551,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 401.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 8.88888888888889)"
08-01-2023 18:44:32.668398,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 401.6)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:33.729324,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:34.750954,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:35.842423,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:36.985277,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:38.181788,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:39.465598,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:40.738231,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:41.929300,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:43.090869,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:44.318956,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.8126315789473684)","(6.5, 11.5, 10.0)"
08-01-2023 18:44:45.505725,"(5.0, 11.0, 10.355555555555554)","(31.0, 110.0, 70.0)","(5.0, 9.8, 9.408333333333335)","(41.0, 250.0, 113.71428571428571)","(21.0, 65.0, 41.0)","(51.0, 490.0, 409.6363636363636)","(1.5, 2.38, 1.7458823529411764)","(6.5, 11.5, 10.0)"
