,Icy Hot,Austrian Beauty,Queen Missile,Rosie Love,Pollys Riff,Thai Warrior,Bob Albury,Meg Bee
08-01-2023 12:59:23.080422,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:24.346287,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:25.659589,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:26.875002,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:28.043867,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:29.193103,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:30.313524,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:31.406252,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:32.440082,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
08-01-2023 12:59:33.463257,"(4.4, 7.2, 5.588888888888889)","(91.0, 650.0, 553.3333333333334)","(11.0, 26.0, 17.9)","(21.0, 80.0, 42.5)","(5.5, 9.0, 5.584615384615384)","(1.9, 2.7, 1.8930158730158728)","(21.0, 210.0, 77.85714285714286)","(5.5, 10.5, 5.954545454545454)"
