,Aha Reaction Nz,Young Rooster,Aqua Sancta Nz,Mighty Flying Art Nz,Franco Hampton Nz,Hes Ideal,Cullenburn Nz,Diamonds N Cash Nz,Sunny Sanz,Like A Wildfire Nz,Ryley Major,The Shallows
08-01-2023 19:12:03.392824,"(41.0, 99999, 99990)","(91.0, 150.0, 115.0)","(101.0, 99999, 99990)","(71.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.26, 2.252452830188679)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 44.0, 30.5)","(2.6, 99999, 99990)","(10.0, 12.0, 11.11111111111111)","(16.0, 27.0, 19.5)"
08-01-2023 19:12:04.994803,"(41.0, 99999, 99990)","(91.0, 150.0, 115.0)","(101.0, 99999, 99990)","(71.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.26, 2.2520408163265304)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 44.0, 30.5)","(2.6, 99999, 99990)","(10.0, 12.0, 11.0)","(16.0, 27.0, 20.892857142857142)"
08-01-2023 19:12:06.473087,"(41.0, 99999, 99990)","(91.0, 150.0, 115.0)","(101.0, 99999, 99990)","(71.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.26, 2.2520408163265304)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 44.0, 30.5)","(2.6, 99999, 99990)","(10.0, 12.0, 10.0)","(16.0, 27.0, 21.458333333333332)"
08-01-2023 19:12:08.077315,"(41.0, 99999, 99990)","(91.0, 150.0, 115.0)","(101.0, 99999, 99990)","(71.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.26, 2.2520408163265304)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 44.0, 30.5)","(2.6, 99999, 99990)","(10.0, 12.0, 10.0)","(16.0, 27.0, 21.458333333333332)"
08-01-2023 19:12:09.744897,"(41.0, 99999, 99990)","(91.0, 150.0, 115.0)","(101.0, 99999, 99990)","(71.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.26, 2.2520408163265304)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 44.0, 30.5)","(2.6, 99999, 99990)","(10.0, 12.0, 10.12)","(16.0, 27.0, 21.458333333333332)"
08-01-2023 19:12:11.278437,"(41.0, 99999, 99990)","(91.0, 150.0, 122.0)","(101.0, 99999, 99990)","(71.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.26, 2.2520408163265304)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 44.0, 30.5)","(2.6, 99999, 99990)","(10.0, 11.5, 10.12)","(14.0, 27.0, 21.458333333333332)"
08-01-2023 19:12:12.762104,"(41.0, 99999, 99990)","(91.0, 150.0, 122.0)","(101.0, 99999, 99990)","(71.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.26, 2.2520408163265304)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 44.0, 30.5)","(2.6, 99999, 99990)","(10.0, 11.5, 10.12)","(14.0, 27.0, 21.458333333333332)"
08-01-2023 19:12:14.300426,"(41.0, 99999, 99990)","(91.0, 150.0, 122.0)","(101.0, 99999, 99990)","(71.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.26, 2.2520408163265304)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 44.0, 30.5)","(2.6, 99999, 99990)","(10.0, 11.5, 10.12)","(14.0, 27.0, 21.458333333333332)"
08-01-2023 19:12:15.869676,"(41.0, 99999, 99990)","(91.0, 150.0, 122.0)","(101.0, 99999, 99990)","(71.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.26, 2.2520408163265304)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 44.0, 30.5)","(2.6, 99999, 99990)","(10.0, 11.5, 10.12)","(14.0, 27.0, 21.458333333333332)"
08-01-2023 19:12:17.498510,"(41.0, 99999, 99990)","(91.0, 150.0, 115.0)","(101.0, 99999, 99990)","(71.0, 99999, 99990)","(101.0, 99999, 99990)","(1.6, 2.26, 2.1799999999999997)","(51.0, 99999, 99990)","(51.0, 99999, 99990)","(26.0, 44.0, 30.5)","(2.6, 99999, 99990)","(10.0, 11.5, 11.04)","(14.0, 27.0, 20.0)"
