,Tuta Grizzly,Lornas Creek,Stomp,Business Flight,Clock Watcher,Journalist,Luckies Lass,Brians Buster
08-01-2023 12:04:48.697399,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:49.710608,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:50.715575,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:51.730516,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:52.720752,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:53.714914,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:54.662826,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:55.624727,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:56.591895,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:57.555774,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:58.532957,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:04:59.518879,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:00.513352,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:01.458034,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:02.420728,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:03.362647,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:04.310902,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:05.292726,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:06.259323,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:07.249354,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:08.278378,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:09.258175,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:10.249758,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:11.197624,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:12.160206,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:13.154736,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
08-01-2023 12:05:14.152649,"(51.0, 510.0, 314.16666666666663)","(51.0, 510.0, 279.0)","(31.0, 330.0, 179.5)","(31.0, 330.0, 141.25)","(3.1, 7.8, 5.3277777777777775)","(1.16, 1.57, 1.1946153846153846)","(51.0, 390.0, 215.0)","(91.0, 610.0, 521.6666666666666)"
