,Jack Spot,Austrian Legend,Graces Secret,Imposing Sledge,Freddy Vegas,What A Mistake,First Slip
08-01-2023 12:38:22.982462,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 5.3999999999999995)"
08-01-2023 12:38:24.075253,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 5.3999999999999995)"
08-01-2023 12:38:25.041340,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 5.3999999999999995)"
08-01-2023 12:38:26.005201,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 5.3999999999999995)"
08-01-2023 12:38:26.956021,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 5.3999999999999995)"
08-01-2023 12:38:27.932526,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 5.3999999999999995)"
08-01-2023 12:38:28.947494,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 5.3999999999999995)"
08-01-2023 12:38:29.959446,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:30.980085,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:31.946447,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 5.866666666666667)"
08-01-2023 12:38:32.909772,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 5.866666666666667)"
08-01-2023 12:38:33.914066,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 5.866666666666667)"
08-01-2023 12:38:34.943209,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:36.011224,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:37.072520,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:38.077180,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:38.996576,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.9714285714285715)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:40.003163,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.9714285714285715)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:40.989469,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.9714285714285715)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:42.058524,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:43.053236,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:44.050157,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:45.015434,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:45.982559,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:46.979850,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:47.945995,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:48.944358,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:49.936252,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:50.879787,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:51.893889,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:52.868952,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:53.874306,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:54.826760,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:55.778627,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.8, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:56.769881,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:57.691875,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:58.664769,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:38:59.628706,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:00.604271,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:01.626471,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:02.554098,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:03.522307,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:04.497462,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.1, 2.7675)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:05.453099,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.5, 2.8314285714285714)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:06.426891,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.5, 2.8314285714285714)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:07.398097,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.5, 2.8314285714285714)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:08.448287,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.5, 2.8314285714285714)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:09.482964,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.5, 2.7863636363636366)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
08-01-2023 12:39:10.474070,"(3.6, 7.6, 5.033333333333333)","(61.0, 520.0, 443.33333333333337)","(61.0, 500.0, 428.33333333333337)","(2.8, 3.45, 2.7863636363636366)","(3.7, 5.5, 4.6)","(6.5, 99999, 99990)","(4.6, 7.8, 6.466666666666667)"
