,Sweet Zambora,Seductive Zara,Whisky Dutton,Flying Zinger,Blaze A Trail,Kings Court
08-01-2023 17:31:40.171699,"(51.0, 480.0, 288.8888888888889)","(11.0, 23.0, 21.909090909090907)","(2.9, 4.6, 3.5585714285714283)","(9.0, 18.0, 10.333333333333334)","(1.45, 99999, 99990)","(41.0, 210.0, 67.63636363636364)"
08-01-2023 17:31:41.183157,"(51.0, 480.0, 288.8888888888889)","(11.0, 23.0, 21.909090909090907)","(2.9, 4.6, 3.5585714285714283)","(9.0, 18.0, 10.333333333333334)","(1.45, 99999, 99990)","(41.0, 210.0, 67.63636363636364)"
08-01-2023 17:31:42.153176,"(51.0, 480.0, 288.8888888888889)","(11.0, 23.0, 21.909090909090907)","(2.9, 4.6, 3.5585714285714283)","(9.0, 18.0, 10.333333333333334)","(1.45, 99999, 99990)","(41.0, 210.0, 67.63636363636364)"
08-01-2023 17:31:43.042942,"(51.0, 480.0, 288.8888888888889)","(11.0, 23.0, 21.909090909090907)","(2.9, 4.6, 3.5585714285714283)","(9.0, 18.0, 10.333333333333334)","(1.45, 99999, 99990)","(41.0, 210.0, 67.63636363636364)"
08-01-2023 17:31:43.937480,"(51.0, 480.0, 288.8888888888889)","(11.0, 23.0, 21.909090909090907)","(2.9, 4.6, 3.5585714285714283)","(9.0, 18.0, 10.333333333333334)","(1.45, 99999, 99990)","(41.0, 210.0, 67.63636363636364)"
08-01-2023 17:31:44.964736,"(51.0, 480.0, 288.8888888888889)","(11.0, 23.0, 21.909090909090907)","(2.9, 4.6, 3.5585714285714283)","(9.0, 18.0, 10.333333333333334)","(1.45, 99999, 99990)","(41.0, 210.0, 67.63636363636364)"
08-01-2023 17:31:45.957521,"(51.0, 480.0, 288.8888888888889)","(11.0, 23.0, 21.909090909090907)","(2.9, 4.6, 3.5585714285714283)","(9.0, 18.0, 10.333333333333334)","(1.45, 99999, 99990)","(41.0, 210.0, 67.63636363636364)"
08-01-2023 17:31:46.962499,"(51.0, 480.0, 288.8888888888889)","(11.0, 23.0, 21.909090909090907)","(2.9, 4.6, 3.5585714285714283)","(9.0, 18.0, 10.333333333333334)","(1.45, 99999, 99990)","(41.0, 210.0, 67.63636363636364)"
08-01-2023 17:31:48.014115,"(51.0, 480.0, 288.8888888888889)","(11.0, 23.0, 21.909090909090907)","(2.9, 4.6, 3.5585714285714283)","(9.0, 18.0, 10.333333333333334)","(1.45, 99999, 99990)","(41.0, 210.0, 67.63636363636364)"
08-01-2023 17:31:48.985702,"(51.0, 480.0, 288.8888888888889)","(11.0, 23.0, 21.909090909090907)","(2.9, 4.6, 3.5585714285714283)","(9.0, 18.0, 10.333333333333334)","(1.45, 99999, 99990)","(41.0, 210.0, 67.63636363636364)"
